company,region,gap_count,gaps
Biocon,Indian,2,NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Aurobindo Pharma,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Glenmark Pharmaceuticals,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Sun Pharmaceutical,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Torrent Pharmaceuticals,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Alembic Pharmaceuticals,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Natco Pharma,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Ajanta Pharma,Indian,4,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Marksans Pharma,Indian,4,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Strides Pharma Science,Indian,4,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Cipla,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Jubilant Pharmova,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Lupin,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Zydus Lifesciences,Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Zenotech Laboratories,Indian,5,NO_DAILY_STOCK_MERGED|NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Amgen,Non-Indian,2,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED
Biogen,Non-Indian,1,NO_QUARTERLY_FINANCIAL_MERGED
Teva Pharmaceutical,Non-Indian,1,NO_WEEKLY_STOCK_MERGED
Novartis,Non-Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Laboratorios Rovi,Non-Indian,4,NO_DAILY_STOCK_MERGED|NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED
Fresenius SE,Non-Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Merck & Co.,Non-Indian,2,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED
Baxter International,Non-Indian,4,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Viatris,Non-Indian,4,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Jiangsu Hengrui Pharma,Non-Indian,4,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Pfizer,Non-Indian,2,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED
Sanofi,Non-Indian,3,NO_WEEKLY_STOCK_MERGED|NO_QUARTERLY_FINANCIAL_MERGED|NO_ANNUAL_FINANCIAL_MERGED
Formycon,Non-Indian,3,NO_WEEKLY_STOCK_MERGED|NO_MONTHLY_STOCK_MERGED|NO_ANNUAL_FINANCIAL_MERGED
