,,,,,,,,,,,,,
Ajanta Pharma Limited | Balance Sheet (As Reported),,,,,,,,,,,,,
NSEI: AJANTPHARM (MI KEY: 4812370; SPCIQ KEY: 139957),,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY
Period Ended,2014-03-31 00:00:00,2015-04-01 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
Current Assets,,,,,,,,,,,,,
Cash and Cash Equivalents,,416700,414200,658300,906400,951600,2023500,1775100,2063600,3298300,1294900,1751200,1032600
Cash and Bank Balance,603900,,,,,,,,,,,,
Other Bank Balances,,822700,19500,41200,24500,53500,29000,321000,54300,10700,12800,11200,15100
Investments,550000,198900,767800,1815600,1823800,647400,671400,1756700,1218600,,3300500,,
Iinvestments,,,,,,,,,,5102700,,4387100,5598500
Trade Receivables,2022200,2587600,3723500,3231500,4597900,4594800,7753000,7384300,10198100,10569000,12468400,11827400,18538800
"Current Tax Assets, Net",,,176400,,,,,,,,,,
Loans,,,,,,116600,90100,80300,63700,,339600,,
Loans and Advances,464200,,,,,,,,,,,,
(V) Loans,,,,,,,,,,173900,,25400,16800
Inventories,1554000,1590300,2045800,2110200,3506300,4357100,4956800,7664700,7910700,,,,
(A) Inventories,,,,,,,,,,8156300,8283600,9038500,9385400
Other Current Assets,6200,504600,478400,636800,1053800,1006900,862500,1235200,958700,,,,
Other Financial Assets,,91200,7100,12400,323500,70200,30800,58600,176900,24800,190200,23200,89800
Assets Classified as Held for Sale,,,,,,,,,,88200,88500,,
(C) Other Current Assets,,,,,,,,,,916100,1330700,1233000,2677300
(D) Assets Classied as held for sale,,,,,,,,,,,,133300,
Total Current Assets,5200500,,,8506000,12236200,11798100,16417100,20275900,22644600,28340000,27309200,28430300,37354300
Noncurrent Assets,,,,,,,,,,,,,
(B) Capital Work-in-progress,,,,,,,,,,2094700,2564500,1762700,2580500
Right of Use Assets,,,,,,,908500,922200,702500,,,,
(C Right of Use Assets,,,,,,,,,,808600,804000,906300,990200
Capital Work in Progress,935500,1702000,2384200,3380300,613300,2616100,1318600,1081900,1528600,,,,
"Property, Plant and Equipment",2768200,2837800,4469800,5831600,10452100,11617000,13601900,14292000,14243100,,,,
"(A) Property, Plant and Equipment",,,,,,,,,,14078300,13841300,16248700,17263500
Investments,84600,453500,,,75800,129900,122800,,251000,,185800,,
Iinvestments,,,,,,,,,,251000,,252400,285000
Deferred Tax Asset-net,,50600,85800,244500,226100,318100,254000,501000,555500,,,,
(F) Deferred Tax Assets (net),,,,,,,,,,967700,1344500,1864300,1885900
Non Current Tax Assets Net,,,,210000,228300,134800,138300,214400,270400,,,,
Loans,,,,,,84500,65200,,,,,,
Long-term Loans and Advances,391500,,,,,,,,,,,,
Intangible Assets,25700,,,,74500,,,,,,,,
Other Intangible Assets,,32200,37600,60100,,66500,117100,107900,90200,,,,
Intangible Assets Under Development,,,13800,12300,,,,,,,,,
D) Other Intangible Assets,,,,,,,,,,,146600,465200,415800
(D) Other intangible assets (other than self generated),,,,,,,,,,77500,,,
Others,,92300,92600,,,,,,,,,,
Other Non-current Assets,87500,53800,163100,139300,435500,71500,58600,139200,65400,,,,
Other Financial Assets,,,,92900,144100,26500,90900,163700,120400,110900,93600,92500,79900
Investment Properties,,,,,,98800,93900,89000,84100,,,,
(H) Other Non-current Assets,,,,,,,,,,53200,,127100,617700
(G) Income Tax Asset (net),,,,,,,,,,8300,94400,,75600
Total Assets,9493500,11434200,14879600,18477000,24485900,26961800,33186900,37787200,40555800,46790200,46383900,50149500,61548400
Current Liabilities,,,,,,,,,,,,,
Trade Payables,1245400,1090600,1455700,1781800,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,89100,93900,89900,244800,279800,,,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,2407200,2157900,3533500,3493800,2991900,,,,
a) Total outstanding due of micro enterprises              and small enterprises,,,,,,,,,,379400,206400,,
b) Total outstanding dues of creditors other               than micro enterprises & small enterprises,,,,,,,,,,,4425600,,
A) Total Outstanding Dues of Micro and Small Enterprises,,,,,,,,,,,,215500,541700
(b) Total Outstanding Dues of Creditors Other Than Micro and Small Enterprises,,,,,,,,,,,,4326500,4901300
(B) Total Outstanding Dues of Creditors Other Than Micro Enterprises,,,,,,,,,,3848300,,,
Borrowings,605500,50800,462500,,,333400,428500,900,2700,,14900,,
Lease Liabilities,,,,,,,173100,115000,61900,92500,102700,101100,87600
Iborrowings,,,,,,,,,,1800,,25900,2119900
"Current Tax Liabilities, Net",,25600,,80400,37200,,117000,489200,79400,,,,
(D) Current Tax Liabilities (net),,,,,,,,,,330700,,,
(D) Income Tax Liabilities (net),,,,,,,,,,,447700,405300,54900
Other Current Liabilities,476300,154700,162100,79000,86400,88200,205700,304200,644200,,,,
Provisions,427000,96800,113500,141100,287500,76700,91600,117100,108100,,,,
Other Financial Liabilities,,428600,405100,384300,553100,1026300,1422400,1721300,2305900,6368400,2980300,3742000,4958200
Liabilities Classified as Held for Sale,,,,,,,,,,,5100,,
B. Other Current Liabilities,,,,,,,,,,231500,597300,911200,1190000
(C) Provisions,,,,,,,,,,140200,177600,233500,303900
Total Current Liabilities,2754200,,,2466600,3460500,3776400,6061700,6486300,6473900,11392800,8957600,9961000,14157500
Noncurrent Liabilities,,,,,,,,,,,,,
Borrowings,523000,332500,148700,10400,10100,6600,7400,16000,16400,,,,
Lease Liabilities,,,,,,,119700,181700,169300,249500,235200,,
Iborrowings,,,,,,,,,,12500,,,
(I) Lease Liabilities,,,,,,,,,,,,347200,394200
Deferred Tax Liability,229900,137800,192900,273400,470000,589000,811600,921700,1018700,,,,
(C)deferred Tax Liabilities (net),,,,,,,,,,977200,,,
(D) Deferred Tax Liabilities (net),,,,,,,,,,,1085000,1105200,1179400
Other Long-term Liabilities,25000,,,,,,36700,33400,30000,,,,
Provisions,28300,47600,25900,31500,131600,134400,156500,179300,193200,,,,
Other Financial Liabilities,,25000,4600,900,,3300,4600,12500,10900,10100,13700,10500,18200
CIQ Balancing Difference - Total Long-Term Liabilities,,-100,,,,,,,,,,,
B1 - 5) Other Non-current Liabilities,,,,,,,,,,26700,23400,20000,16700
Non- Current Tax Liabilities (net),,,,17300,,,,,,,,,
