,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biocon Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: BIOCON (MI KEY: 4810932; SPCIQ KEY: 8835628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-04-01 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Thousands,Thousands,Millions,Thousands,Thousands,Thousands,Millions,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,6520000,6584800,6610000,8044,8550000,7558000,5860000,4575,8160000,9682300,7140000,7613,5047,5510000,7102,5173,4849,3619,5012,5763,7298,6549,9101,10628,9531,6632,6630,7506,13235,6444,12336,16877,32271,42747,24165
Other Bank Balances,,,,,,,,4629,,,,7773,,,3341,,,,8216,,3274,,,,,,,,,,,,,,
Bank Balances Other Than (iii) Above,,,,,,,,,,,,,13911,12600000,,3391,2004,2051,,6595,,1312,885,3549,10623,10054,10845,7269,10766,13445,,4067,8931,3264,7771
Iv) Bank balances other than (ili) above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10251,,,,
Investments,6330000,4756300,3880000,7004,4890000,3341700,3020000,2478,2310000,4153400,3650000,8747,4162,4410000,10650,12473,12953,12339,6114,4700,8293,5585,8576,8375,12087,14057,12177,24999,13265,17973,,5559,,15024,
Iinvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3156,,4473,,6898
