,,,,,,,,,,,,,
Lupin Limited | Balance Sheet (As Reported),,,,,,,,,,,,,
BSE: 500257 (MI KEY: 4812577; SPCIQ KEY: 9643983),,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY
Period Ended,2014-03-31 00:00:00,2015-04-01 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,
Cash and Cash Equivalents,7975,4413,7926.6,6818.3,13941.1,5722.1,22148.5,9206.3,9913.7,12318.1,9832.8,15436.9,41677.3
Current Investments,1764.1,16587,20.2,21141.3,2348.6,21098.6,23382.5,23768.1,8224,4397.7,8469.3,10591.1,35771.3
Trade Receivables,24641,26475.2,45487.6,43073.4,51922.1,51498,54459.3,44743.2,42619.4,44807,46920.5,54971,66040.6
"Current Tax Assets, Net",,10.4,31.6,308.8,8,296.8,306.1,56.9,385.1,367.2,406.1,346.3,14.5
Current Loans,,119.2,185,158.6,199,248.4,370.1,15.1,22.9,21.2,25.8,50.2,29.3
Inventories,21294.5,25036.1,32736.5,36422.8,36624.9,38367.7,34568.7,40920.1,46307.3,44917.6,49539,54763.5,60832.5
Other Current Assets,2313,4734.4,11911.4,7677.3,12461.6,10760.9,12606.9,8418.3,12049.8,11510.1,10705.5,12519.3,15426.8
Loans and Advances,3016.9,,,,,,,,,,,,
Assets Classified as Held for Sale,,,,,86,,,,,,,,
Other Current Financial Assets,,360.1,284.2,3765.4,4364.9,6393.4,3895.5,4517.4,3987,5560.9,6384.9,3321.1,5629.8
Other Bank Balances,,304.7,290.9,163.4,139.2,4149.9,2394.5,8218.3,1067.6,613.2,2192.6,15986.4,14851.7
Total Current Assets,61004.5,78040.1,98874,119529.3,122095.4,138535.8,154132.1,139863.7,124576.8,124513,134476.5,167985.8,240273.8
Noncurrent Assets,,,,,,,,,,,,,
Right of Use Assets,,,,,,,,,3757.6,3554.2,3143.8,4483.2,7805.4
"Property, Plant and Equipment",26038.3,26270.9,33491.5,46362.9,49074.2,49115.3,43655.5,43829,41740.7,42896,45841.7,46998.6,46685.6
Capital Work in Progress,2842.6,5196.9,9812.2,7149.8,9563.1,10185.9,7581.6,8515.4,8474.7,8948.2,5956.7,3554.5,6951.6
Investments Accounted for Using Equity Method,,30.3,88.1,164.3,211.4,251.8,305,319.1,303.3,300.7,269.1,276.9,289.8
Others,,25.1,55.2,,,,,,,,,,
Investments,20.6,,,55.7,55.7,1604.5,55.7,461.6,472.7,470.6,2007.9,595.8,635.6
Deferred Tax Asset-net,708.1,2561.7,3358.5,5076.4,7165.6,7340,1743.1,1802.1,1697.3,1556.5,3025.3,5591,5647.2
Non Current Tax Assets Net,,294.2,646,1048.4,1464.3,1424.1,1185.6,2691.3,3687.6,3778.6,1077,461.9,489.8
Long-term Loans and Advances,3729.9,338.8,518.4,765.2,829.2,814.6,476.3,0.9,2.1,40.4,35.7,32.7,21.1
Goodwill,6578.7,16252.8,22654.4,23100.1,24484.9,23803.2,18514.8,19624.2,21241,22187.8,23250.4,22326.1,26585.3
Other Intangible Assets,,929.4,31023.7,40866.3,30060.8,37948.6,17210.8,15354.4,7076.9,14914.4,16547.1,23385.6,28862.5
Intangible Assets Acquired,939,,,,,,,,,,,,
Intangible Assets Under Development,198.6,562.8,17211.8,14180.8,16418.9,6211.2,1814.6,2147.2,2988.1,3431.7,1768.6,1611.9,3209.5
Other Non-current Assets,,2103.5,8514.8,7761.2,1588.4,1825.2,2458.3,792.9,1375.6,1980.1,1377.6,1810.1,1675.3
Other Non-current Financial Assets,,3.2,,12.4,41.9,433.5,705.1,702.6,817.8,987.1,1194.4,12934.7,14515.8
Total Assets,102060.3,132609.7,226248.6,266072.8,263053.8,279493.7,249838.5,236104.4,218212.2,229559.3,239971.8,292048.8,383648.3
Current Liabilities,,,,,,,,,,,,,
Trade Payables,15941.3,17877.1,19888.2,25889,,,,,,,,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,28722.9,40158.2
Trade Payables Total Outstanding Dues of Micro Enterprises and Small Enterprises,,,,,1063.8,1046.1,989.4,912.3,860.7,763.3,806.2,858.7,1573.1
Trade Payables - Total Outstanding Dues of Other Than Micro Enterprises and Small Enterprises,,,,,24690.2,23935.7,23133.6,19232.1,21968.4,24552,28774.9,,
Short-term Borrowings,4023.8,3691.5,17454.1,23043.3,4517.6,15802.1,24927.5,47668.6,37023,42165.4,26699.1,33104.2,42668.1
Lease Liabilities,,,,,,,,874.1,922.6,1110.8,965.8,1068.5,2111.1
"Current Tax Liabilities, Net",,803.2,908.3,980.1,860.7,442.1,2882.1,1368.2,4141.1,4249.7,4291.4,4401.7,6680.4
Short-term Provisions,3454,1476.2,2348.4,4713.8,4651.6,7274.5,9077.1,4687.2,4830.1,5151.1,5249.4,2731.8,5612.4
Other Current Liabilities,2876.4,762.7,1030.4,915.8,2344.4,1912.9,2482.5,4993.5,7079.5,8709,11439,11401.2,16488.9
Other Current Financial Liabilities,,10022.2,8982.3,5663.9,12827.2,10885.3,28759.8,4624.9,5939,5952.4,6789.2,7324.9,11220.2
Total Current Liabilities,26295.5,34632.9,50611.7,61205.9,50955.5,61298.7,92252,84360.9,82764.4,92653.7,85015,89613.9,126512.4
Noncurrent Liabilities,,,,,,,,,,,,,
Long-term Borrowings,1509.6,1018.3,53739,56477.8,64245,66417.2,17932.8,161.2,1418.6,275.1,,17662.3,16433.9
Lease Liabilities,,,,,,,,2586.9,2219.6,1863.9,1552.8,2642.7,4948.7
Deferred Tax Liabilities Net,2486.6,1527.5,3266.8,3948.5,2855.3,2882.8,1995.4,2297.7,2408.3,2294.3,2458.7,2264.1,2187.7
Minority Interest,669.4,241,320.8,345.2,400.8,468.6,444.6,549.7,687.1,783.2,831.6,908.5,651
Other Long-term Liabilities,458.6,754.2,1093,1208.6,1744.3,3144.8,1636.5,1436.9,1342.4,1600.2,1894,2045.1,2578.4
Trade Payables,,66.3,127.6,59,37.1,,,,,,,,
Long-term Provisions,1324.9,1620.3,1900,3087.3,3568.5,3707.9,2962.9,3294.9,3329.9,3430.3,3754,4360.8,5327
Other Non-current Financial Liabilities,,1016.9,3556,4764.8,3476.7,4128.6,7247.3,3384.8,2509.2,2013.6,1562.8,516.4,526.5
