Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2014-08-01,31.02,32.33,31.02,31.5,1790479,Marksans Pharma,India,MARKSANS.NS
2014-08-04,31.94,32.23,31.6,31.99,1263490,Marksans Pharma,India,MARKSANS.NS
2014-08-05,32.23,32.28,31.07,31.46,2025829,Marksans Pharma,India,MARKSANS.NS
2014-08-06,31.21,31.89,31.17,31.31,1155245,Marksans Pharma,India,MARKSANS.NS
2014-08-07,31.5,31.84,30.58,30.83,1993588,Marksans Pharma,India,MARKSANS.NS
2014-08-08,30.2,33.1,30.05,32.13,6070946,Marksans Pharma,India,MARKSANS.NS
2014-08-11,32.81,33.34,32.42,32.81,2954787,Marksans Pharma,India,MARKSANS.NS
2014-08-12,32.91,36.05,32.76,35.47,14702448,Marksans Pharma,India,MARKSANS.NS
2014-08-13,35.71,37.02,34.46,36.34,12241919,Marksans Pharma,India,MARKSANS.NS
2014-08-14,36.59,42.97,36.39,42.15,24492239,Marksans Pharma,India,MARKSANS.NS
2014-08-18,42.15,47.62,41.62,43.94,23605426,Marksans Pharma,India,MARKSANS.NS
2014-08-19,44.52,52.27,44.33,50.86,32465473,Marksans Pharma,India,MARKSANS.NS
2014-08-20,51.3,55.56,51.06,55.07,24940001,Marksans Pharma,India,MARKSANS.NS
2014-08-21,55.94,56.43,49.6,50.23,14924956,Marksans Pharma,India,MARKSANS.NS
2014-08-22,48.93,50.91,45.97,48.35,16036667,Marksans Pharma,India,MARKSANS.NS
2014-08-25,48.44,51.39,47.91,49.65,6314403,Marksans Pharma,India,MARKSANS.NS
2014-08-26,50.23,51.44,45.78,47.81,6630743,Marksans Pharma,India,MARKSANS.NS
2014-08-27,48.68,49.07,46.7,47.38,3036643,Marksans Pharma,India,MARKSANS.NS
2014-08-28,47.43,49.02,46.65,47.76,3112486,Marksans Pharma,India,MARKSANS.NS
2014-09-01,48.35,49.51,47.76,48.68,2875789,Marksans Pharma,India,MARKSANS.NS
2014-09-02,49.02,49.41,47.28,47.62,2692048,Marksans Pharma,India,MARKSANS.NS
2014-09-03,47.91,50.09,46.75,48.93,5892739,Marksans Pharma,India,MARKSANS.NS
2014-09-04,49.22,49.6,47.43,48.3,3882128,Marksans Pharma,India,MARKSANS.NS
2014-09-05,48.68,52.36,48.49,51.44,9429624,Marksans Pharma,India,MARKSANS.NS
2014-09-08,51.83,61.07,51.54,60.4,22091989,Marksans Pharma,India,MARKSANS.NS
2014-09-09,60.88,62.86,57.2,61.02,14427342,Marksans Pharma,India,MARKSANS.NS
2014-09-10,60.69,62.43,59.09,60.54,6449302,Marksans Pharma,India,MARKSANS.NS
