,,,,,,,,,,,,
Amgen Inc. | Income Statement (As Reported),,,,,,,,,,,,
NASDAQGS: AMGN (MI KEY: 4092820; SPCIQ KEY: 24816),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,63.215,66.22,67.915,63.824999999999996,69.6,71.1709,73.0256,74.5076,82.7602,83.2392,85.5796,89.8567
Average Exchange Rate,,,,,,,,,,,,
Revenues,,,,,,,,,,,,
Product Sales,1221756.3050000002,1386911.68,1486795.1800000002,1391065.875,1568296.7999999998,1580278.6636,1770140.544,1810311.1572,2052535.7201999999,2239966.872,2740772.2695999998,3158283.2916
Other Revenues,46526.240000000005,47545.96,74638.585,67271.54999999999,84494.4,82415.9022,86462.3104,125321.78319999999,125961.0244,106546.17599999999,119640.2808,144040.2901
Total Revenues,1268282.5450000002,1434457.64,1561433.7650000001,1458337.4249999998,1652791.2,1662694.5658,1856602.8543999998,1935632.9404,2178496.7446,2346513.048,2860412.5504,3302323.5817
Expenses,,,,,,,,,,,,
Cost of Sales,-279536.73000000004,-279911.94,-282662.23000000004,-259703.925,-285429.6,-310020.4404,-449764.6704,-480872.05039999995,-530161.8412,-703454.4792,-1100382.4968,-1081605.0979
"Selling, General and Administrative",-297047.28500000003,-320902.12,-343785.73000000004,-310827.75,-371107.19999999995,-366530.135,-418436.68799999997,-399956.79679999995,-448063.7228,-514335.0168,-607272.8416,-633489.735
Research and Development,-271634.85500000004,-269515.4,-260793.60000000003,-227344.65,-260095.19999999998,-292939.4244,-307218.6992,-359052.1244,-366958.7268,-398216.3328,-510396.7344,-653437.9224
Other Items,-28699.61,-3244.7799999999997,-9032.695000000002,-23934.375,-21854.399999999998,-4697.2794,-13801.838399999999,-14454.4744,-41628.3806,-73167.2568,-21223.7408,-117891.99040000001
"Write-off of Acquired, In-process Research and Development",,,,,,,,-112133.938,,,,
"Interest Expense, Net",-67703.265,-72510.9,-85572.90000000001,-83227.79999999999,-96883.2,-91739.2901,-92158.3072,-89185.59719999999,-116360.8412,-239312.69999999998,-270003.638,-247555.2085
Other Income/expense-net,,,,,,53591.6877,18694.5536,19297.468399999998,-67366.8028,235816.6536,43303.2776,238210.1117
"Interest and Other Income, net",29394.975000000002,39930.659999999996,42718.535,59229.6,46910.399999999994,,,,,,,
Earnings before Taxes,353055.775,528303.16,622305.145,612528.5249999999,664332,650359.6842,593917.2048,499275.4276,607956.4292,653843.916,394436.3764,806553.7392000001
Taxes and Other Expenses,,,,,,,,,,,,
Provision for Income Tax,-26992.805,-68802.58,-97865.51500000001,-486218.85,-80109.59999999999,-92237.48640000001,-63459.246399999996,-60202.140799999994,-65711.59879999999,-94726.2096,-44415.8124,-113668.7255
Net Income (Loss),326062.97000000003,459500.58,524439.63,126309.67499999999,584222.3999999999,558122.1978000001,530457.9584,439073.2868,542244.8304,559117.7064,350020.564,692885.0137
Supplementary Info,,,,,,,,,,,,
Operating Income (Loss),391364.065,560883.4,665159.51,636526.725,714304.7999999999,688507.2866,667380.9584,569163.5564,791684.0732,657339.9624,621136.7368,815898.836
Basic EPS - Continuing Operations,429.862,605.913,700.8828000000001,172.96574999999999,883.9199999999998,922.3748640000001,905.51744,770.4085839999999,1008.019236,1045.484352,652.116552,1287.6465110000001
Diluted EPS - Continuing Operations,423.5405,599.9532,695.4496,171.68925,878.3519999999999,916.6811920000001,898.945136,765.9381279999999,1002.226022,1039.657608,646.981776,1278.6608410000001
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,
