,,,,
Formycon AG | Income Statement (As Reported),,,,
XTRA: FYB (MI KEY: 4811967; SPCIQ KEY: 84155935),,,,
Source: S&P Capital IQ - Standard,,,,
Period Category: Fiscal,,,,
Period Type: Quarters,,,,
Sort Order: Latest on Right,,,,
Currency: Indian Rupee (INR),,,,
S&P Capital IQ - Standard,2024 FQ4,2025 FQ1,2025 FQ4,2026 FQ1
Period Ended,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR
Units,Thousands,Millions,Thousands,Millions
Spot Exchange Rate,88.600890361,92.35484219599999,105.502759188,108.113138476
Average Exchange Rate,,,,
Revenues,,,,
Sales Revenue,2531681.841175214,489.48066363879997,2635036.913479488,1416.2821140356
Expenses,,,,
Cost of Sales,-1979343.89066474,-1366.8516645007999,-390360.2089956,-1718.9989017684002
Selling Expenses,-44477.646961221995,,-33338.871903408,
Administrative Expenses,-592296.9520632849,,-632489.04133206,
Research and Development Expenses,-274928.562790183,-498.7161478584,-334760.254903524,-86.49051078080001
Other Income,6910.869448158,,62563.136198484,
Other Expenses,-50236.704834687,,-177877.651990968,
Other (Expense) income,-26580.2671083,-443.30324254079994,-42201.1036752,-410.8299262088
Change in Impairments,6910.869448158,,4220.11036752,
Impairment on Goodwill and Other Intangible Assets,-11451930.881830333,,-6287647.939327236,
Income from Investments Accounted for Using the Equity Method,-1344429.910337814,,-1757992.476349644,
Net Finance Income,-177201.780722,-240.1225897096,2078404.3560036,-864.905107808
Finance Income,2195264.260474497,,2059624.864868136,
Finance Expenses,-100739.212340457,,-347842.597042836,
Ciq Balancing Calc.-expenses,53249.135106960995,,84507.710109588,
Earnings before Taxes,-11248148.834000032,-2059.5129809708,-3080153.05449366,-1664.9423325304
Taxes and Other Expenses,,,,
Provision for Income Tax,1965344.9499877018,-46.177421097999996,2626913.201022012,43.245255390400004
Difference in below EBT block,-88.600890361,,,
Net Income (Loss),-9282892.484902691,-2105.6904020688,-453239.853471648,-1621.6970771400001
Supplementary Info,,,,
Operating Income (Loss),-375933.577801723,-1819.3903912611997,1171080.6269868,-800.0372247224001
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,
