,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,103000000.0,193000000.0,619000000.0,421000000.0,184000000.0,,
Repayment Of Debt,-564000000.0,-34000000.0,-2071000000.0,-232000000.0,-795000000.0,,
Issuance Of Debt,35000000.0,132000000.0,415000000.0,964000000.0,5000000.0,,
Capital Expenditure,-241000000.0,-196000000.0,-725000000.0,-335000000.0,-234000000.0,,
End Cash Position,1279000000.0,2059000000.0,1585000000.0,,1226000000.0,2387000000.0,
Other Cash Adjustment Outside Changein Cash,,1000000.0,,,11000000.0,-27000000.0,8000000.0
Beginning Cash Position,2059000000.0,1585000000.0,2364000000.0,,2387000000.0,2282000000.0,
Effect Of Exchange Rate Changes,10000000.0,10000000.0,0.0,,-26000000.0,-9000000.0,
Changes In Cash,-789000000.0,463000000.0,-798000000.0,,-1146000000.0,141000000.0,
Financing Cash Flow,-1174000000.0,45000000.0,-1709000000.0,,-1397000000.0,26000000.0,
Net Other Financing Charges,0.0,-1000000.0,-7000000.0,0.0,,,4000000.0
Cash Dividends Paid,,,0.0,,-560000000.0,-96000000.0,
Common Stock Dividend Paid,-591000000.0,0.0,0.0,,-560000000.0,-96000000.0,
Net Issuance Payments Of Debt,-529000000.0,98000000.0,-1656000000.0,732000000.0,-790000000.0,,
Net Short Term Debt Issuance,-526000000.0,1000000.0,-4000000.0,,-21000000.0,23000000.0,
Short Term Debt Payments,-558000000.0,-33000000.0,-17000000.0,,-47000000.0,-10000000.0,
Short Term Debt Issuance,32000000.0,34000000.0,13000000.0,,26000000.0,33000000.0,
Net Long Term Debt Issuance,-3000000.0,97000000.0,-1652000000.0,742000000.0,-769000000.0,,
Long Term Debt Payments,-6000000.0,-1000000.0,-2054000000.0,-203000000.0,-748000000.0,,
Long Term Debt Issuance,3000000.0,98000000.0,402000000.0,945000000.0,-21000000.0,,
Investing Cash Flow,41000000.0,29000000.0,-433000000.0,,-167000000.0,59000000.0,
Net Other Investing Changes,-101000000.0,3000000.0,-105000000.0,,-8000000.0,-213000000.0,
Dividends Received Cfi,114000000.0,16000000.0,0.0,,121000000.0,0.0,
Net Investment Purchase And Sale,259000000.0,244000000.0,106000000.0,,0.0,472000000.0,
Sale Of Investment,259000000.0,244000000.0,106000000.0,,0.0,472000000.0,
Net Business Purchase And Sale,-13000000.0,-50000000.0,,,-68000000.0,-22000000.0,
Purchase Of Business,-13000000.0,-50000000.0,,,-68000000.0,-22000000.0,
Net Intangibles Purchase And Sale,,,-245000000.0,,,,-23000000.0
Purchase Of Intangibles,,,-245000000.0,,,,-23000000.0
Net PPE Purchase And Sale,-218000000.0,-184000000.0,-189000000.0,,-212000000.0,-178000000.0,
Sale Of PPE,23000000.0,12000000.0,291000000.0,-46000000.0,22000000.0,,
Purchase Of PPE,-241000000.0,-196000000.0,-480000000.0,-188000000.0,-234000000.0,,
Operating Cash Flow,344000000.0,389000000.0,1344000000.0,,418000000.0,56000000.0,
Change In Working Capital,-327000000.0,-298000000.0,778000000.0,171000000.0,-139000000.0,,
Change In Other Current Assets,-54000000.0,-131000000.0,112000000.0,132000000.0,-122000000.0,,
Change In Payable,151000000.0,303000000.0,-382000000.0,113000000.0,191000000.0,,
Change In Inventory,-30000000.0,-87000000.0,-21000000.0,,-68000000.0,-122000000.0,
Change In Receivables,-394000000.0,-383000000.0,313000000.0,-75000000.0,-140000000.0,,
Deferred Tax,-10000000.0,-5000000.0,-19000000.0,13000000.0,-12000000.0,,
Depreciation And Amortization,270000000.0,273000000.0,314000000.0,274000000.0,268000000.0,,
Depreciation,270000000.0,273000000.0,314000000.0,274000000.0,268000000.0,,
Gain Loss On Sale Of PPE,-4000000.0,6000000.0,-84000000.0,,0.0,-76000000.0,
Gain Loss On Sale Of Business,16000000.0,-32000000.0,,,-38000000.0,-18000000.0,
Net Income From Continuing Operations,398000000.0,445000000.0,,360000000.0,346000000.0,473000000.0,
