,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jiangsu Hengrui Pharmaceuticals Co.,Ltd - 江苏恒瑞医药股份有限公司 | Income Statement (As Reported)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHSE: 600276, SEHK: 1276 (MI KEY: 4810483; SPCIQ KEY: 6153489)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ4,2022 FQ1,2022 FQ4,2023 FQ1,2023 FQ4,2024 FQ1,2024 FQ4,2025 FQ1,2025 FQ4,2026 FQ1
Period Ended,2014-03-31 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute
Spot Exchange Rate,9.638399176,10.08552578,10.192679781,10.083877732,10.315724892999999,10.199460916,10.268348233,9.988304620000001,9.781231097,9.41062844,9.817523185,9.80911983,10.373328231999999,10.561370816,10.119662096,10.323171822,9.884359261,10.221445088,10.632561423,10.827693349999999,11.18549153,11.165048988,11.728678021999999,11.970188804,11.999101084000001,11.954929249000001,11.738876588,11.539173187000001,11.724678385,11.775194653,12.846948988000001,13.594474005
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,16591509940.609638,19961557812.087624,19929508288.487053,22224325609.622448,25630636533.405716,23164387166.932217,27402145004.776382,29814707061.2553,27503674992.190067,29825716021.881065,36536152085.64833,36862230053.2344,40011255709.296165,49617518667.61717,50020193314.86714,51273687861.41616,68387375373.504814,64412998439.03165,58766329838.229065,87750259604.97609,91716132157.18294,77363237328.58998,65461677685.84818,65579147283.97795,63207904798.08579,65660298691.6984,62962113786.099266,69206582507.08911,56516216556.84732,84847473563.84987,61991236232.14501,110666703639.21227
Other Operations,,,74458592.36221729,,,1774732173.6371524,,,173795673.31897613,,,113347848.72896908,,,164553933.87701365,,,427046551.6645896,,,1363641207.6868389,,1468702333.6597185,,746887409.4816768,,5195594645.491471,,,,,
Other Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34881186409.11774,,46454154461.73729,
Total Revenues,16591509940.609638,19961557812.087624,20003966880.84927,22224325609.622448,25630636533.405716,-70078652292.0392,27402145004.776382,29814707061.2553,27677470665.509045,29825716021.881065,36536152085.64833,36975577901.96336,40011255709.296165,49617518667.61717,50184747248.744156,51273687861.41616,68387375373.504814,64840044990.69624,58766329838.229065,87750259604.97609,93079773364.8698,77363237328.58998,66930380019.5079,65579147283.97795,63954792207.56748,65660298691.6984,68157708431.59074,69206582507.08911,91397402965.96506,84847473563.84987,108445390693.88231,110666703639.21227
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Costs,-3041503409.019867,-3239238166.1055994,-3470927730.3353868,-3649879098.8455486,-3546573905.7221694,-3486413228.294612,-3932523975.870113,-3819845877.2163496,-3400028139.0601487,-3937284972.1873593,-4936269210.180614,-4861132009.174308,-5413841268.685778,-6741776625.119453,-6648563004.399452,-6981924780.81951,-8282321724.759865,-7568584971.775684,-7877654057.265581,-11052904847.220055,-10784378578.475458,-10164643285.815289,-11883863046.867594,-10238041377.683777,-9813954618.97609,-10275466081.506279,-10185749290.41923,-10879702279.536772,-11900486586.235498,-12583709148.503798,-14995146836.507418,-14830879702.348112
