Company,Country,Indian_Non_Indian,Biosimilar_Relevance_Evidence,Annual_Financial_Coverage,Quarterly_Financial_Coverage,Cash_Flow_Coverage,Daily_Stock_Coverage,Weekly_Stock_Status,Monthly_Stock_Status,Historical_Coverage,Missingness,ML_Feature_Coverage,Target_Eligibility,Data_Quality_Issues,Score,Rank,Reason_Selected
Biocon,India,Indian,Biosimilar-focused,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2008-09-11 to 2026-12-31 (~18.3 years)),DIRECTLY SOURCED,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-06-30 (~13.0 years) | Stock: 2008-09-11 to 2026-12-31 (~18.3 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1),Partial (daily + partial quarterly coverage),Eligible,None major,21.5,1,"Ranked #1 indian; biosimilar-focused relevance; score 21.5; 31 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Aurobindo Pharma,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2003-10-23 to 2026-12-31 (~23.2 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2012-12-31 to 2026-03-31 (~13.2 years) | Stock: 2003-10-23 to 2026-12-31 (~23.2 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,17.25,2,"Ranked #2 indian; pharmaceutical relevance; score 17.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Glenmark Pharmaceuticals,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2003-10-23 to 2026-12-31 (~23.2 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-03-31 (~12.8 years) | Stock: 2003-10-23 to 2026-12-31 (~23.2 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,17.25,3,"Ranked #3 indian; pharmaceutical relevance; score 17.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Sun Pharmaceutical,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2000-03-08 to 2026-12-31 (~26.8 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-03-31 (~12.8 years) | Stock: 2000-03-08 to 2026-12-31 (~26.8 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,17.25,4,"Ranked #4 indian; pharmaceutical relevance; score 17.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Torrent Pharmaceuticals,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2006-02-20 to 2026-12-31 (~20.9 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-03-31 (~12.8 years) | Stock: 2006-02-20 to 2026-12-31 (~20.9 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,17.25,5,"Ranked #5 indian; pharmaceutical relevance; score 17.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Alembic Pharmaceuticals,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2013-12-31 to 2026-12-31 (~13.0 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-03-31 (~12.8 years) | Stock: 2013-12-31 to 2026-12-31 (~13.0 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,16.25,6,"Ranked #6 indian; pharmaceutical relevance; score 16.25; 21 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Natco Pharma,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2013-12-31 to 2026-12-31 (~13.0 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-03-31 (~12.8 years) | Stock: 2013-12-31 to 2026-12-31 (~13.0 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,16.25,7,"Ranked #7 indian; pharmaceutical relevance; score 16.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Ajanta Pharma,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2014-08-01 to 2026-08-19 (~12.0 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2014-03-31 to 2026-03-31 (~12.0 years) | Stock: 2014-08-01 to 2026-08-19 (~12.0 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,16.0,8,"Ranked #8 indian; pharmaceutical relevance; score 16.0; 22 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
J. B. Chemicals & Pharma,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2014-08-01 to 2026-07-16 (~12.0 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2014-03-31 to 2026-03-31 (~12.0 years) | Stock: 2014-08-01 to 2026-07-16 (~12.0 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,16.0,9,"Ranked #9 indian; pharmaceutical relevance; score 16.0; 15 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Marksans Pharma,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2014-08-01 to 2026-08-19 (~12.0 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2013-06-30 to 2026-06-30 (~13.0 years) | Stock: 2014-08-01 to 2026-08-19 (~12.0 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,16.0,10,"Ranked #10 indian; pharmaceutical relevance; score 16.0; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Strides Pharma Science,India,Indian,Pharmaceutical,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2014-08-01 to 2026-08-19 (~12.0 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2014-03-31 to 2026-03-31 (~12.0 years) | Stock: 2014-08-01 to 2026-08-19 (~12.0 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,16.0,11,"Ranked #11 indian; pharmaceutical relevance; score 16.0; 21 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Cipla,India,Indian,Uncertain,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (1999-10-18 to 2026-12-31 (~27.2 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-06-30 (~13.0 years) | Stock: 1999-10-18 to 2026-12-31 (~27.2 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,15.25,12,"Ranked #12 indian; uncertain relevance; score 15.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Jubilant Pharmova,India,Indian,Uncertain,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2006-03-17 to 2026-12-31 (~20.8 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-06-30 (~13.0 years) | Stock: 2006-03-17 to 2026-12-31 (~20.8 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,15.25,13,"Ranked #13 indian; uncertain relevance; score 15.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Lupin,India,Indian,Uncertain,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2006-08-11 to 2026-12-31 (~20.4 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-06-30 (~13.0 years) | Stock: 2006-08-11 to 2026-12-31 (~20.4 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,15.25,14,"Ranked #14 indian; uncertain relevance; score 15.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
Zydus Lifesciences,India,Indian,Uncertain,Income: NO; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2010-04-05 to 2026-12-31 (~16.7 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2013-06-30 to 2026-06-30 (~13.0 years) | Stock: 2010-04-05 to 2026-12-31 (~16.7 years),Annual financial/annual income statement (P1); Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,15.25,15,"Ranked #15 indian; uncertain relevance; score 15.25; 24 official observations; key data strengths: annual 2/3, quarterly 1/3, daily stock YES."
