PASIVO Y PATRIMONIO NETO,,PERIODO ACTUAL 31/12/2016,PERIODO ANTERIOR 31/12/2015
A) PATRIMONIO NETO (A.1 + A.2 + A.3),0195,147.658,123.929
A.1) FONDOS PROPIOS,0180,143.757,119.523
1. Capital:,0171,3.000,3.000
a) Capital escriturado,0161,3.000,3.000
b) Menos: Capital no exigido,0162,,
2. Prima de emisión,0172,,
3. Reservas,0173,6.959,6.959
4. Menos: Acciones y participaciones en patrimonio propias,0174,(8.701),(8.112)
5. Resultados de ejercicios anteriores,0178,110.657,100.167
6. Otras aportaciones de socios,0179,,
7. Resultado del ejercicio,0175,31.842,17.509
8. Menos: Dividendo a cuenta,0176,,
9. Otros instrumentos de patrimonio neto,0177,,
A.2) AJUSTES POR CAMBIOS DE VALOR,0188,(3),(2)
1. Activos financieros disponibles para la venta,0181,(3),(2)
2. Operaciones de cobertura,0182,,
3. Otros,0183,,
"A.3) SUBVENCIONES, DONACIONES Y LEGADOS RECIBIDOS",0194,3.904,4.408
B) PASIVO NO CORRIENTE,0120,24.336,34.988
1. Provisiones a largo plazo,0115,,
2. Deudas a largo plazo:,0116,20.110,31.780
a) Deudas con entidades de crédito y obligaciones u otros valores negociables,0131,10.940,20.932
b) Otros pasivos financieros,0132,9.170,10.848
3. Deudas con empresas del grupo y asociadas a largo plazo,0117,,
4. Pasivos por impuesto diferido,0118,3.328,2.562
5. Otros pasivos no corrientes,0135,,
6. Periodificaciones a largo plazo,0119,898,646
C) PASIVO CORRIENTE,0130,113.461,69.083
1. Pasivos vinculados con activos no corrientes mantenidos para la venta,0121,,
2. Provisiones a corto plazo,0122,2.878,2.497
3. Deudas a corto plazo:,0123,12.789,9.997
a) Deudas con entidades de crédito y obligaciones u otros valores negociables,0133,9.991,7.247
b) Otros pasivos financieros,0134,2.798,2.750
4. Deudas con empresas del grupo y asociadas a corto plazo,0129,88,87
5. Acreedores comerciales y otras cuentas a pagar:,0124,97.537,56.333
a) Proveedores,0125,92.882,52.333
b) Otros acreedores,0126,4.655,4.000
c) Pasivos por impuesto corriente,0127,,
6. Otros pasivos corrientes,0136,,
7. Periodificaciones a corto plazo,0128,169,169
TOTAL PATRIMONIO NETO Y PASIVO (A + B + C ),0200,285.455,228.000
