ACTIVO,,PERIODO ACTUAL 31/12/2016,PERIODO ANTERIOR 31/12/2015
A) ACTIVO NO CORRIENTE,1040,120.776,109.764
1. Inmovilizado intangible:,1030,24.872,18.881
a) Fondo de comercio,1031,,
b) Otro inmovilizado intangible,1032,24.872,18.881
2. Inmovilizado material,1033,82.822,81.803
3. Inversiones inmobiliarias,1034,,
4. Inversiones contabilizadas aplicando el método de la participación,1035,2.571,
5. Activos financieros no corrientes,1036,70,70
6. Activos por impuesto diferido,1037,10.252,8.871
7. Otros activos no corrientes,1038,189,139
B) ACTIVO CORRIENTE,1085,167.072,154.083
1. Activos no corrientes mantenidos para la venta,1050,,
2. Existencias,1055,67.386,63.859
3. Deudores comerciales y otras cuentas a cobrar:,1060,58.308,60.973
a) Clientes por ventas y prestaciones de servicios,1061,45.227,45.379
b) Otros deudores,1062,8.615,11.649
c) Activos por impuesto corriente,1063,4.466,3.945
4. Otros activos financieros corrientes,1070,,
5. Otros activos corrientes,1075,,
6. Efectivo y otros activos líquidos equivalentes,1072,41.378,29.251
TOTAL ACTIVO (A + B),1100,287.848,263.847
