,,PER. CORRIENTE ACTUAL (2º SEMESTRE),,PER. CORRIENTE ANTERIOR (2º SEMESTRE),,ACUMULADO ACTUAL 31/12/2016,,ACUMULADO ANTERIOR 31/12/2015,
,,Importe,%,Importe,%,Importe,%,Importe,%
(+) Importe neto de la cifra de negocios,1205,136.306,"100,00",124.752,"100,00",265.166,"100,00",246.009,"100,00"
(+/-) Variación de existencias de productos terminados y en curso de fabricación,1206,8.199,"6,02",(6.247),"(5,01)",6.286,"2,37",(4.826),"(1,96)"
(+) Trabajos realizados por la empresa para su activo,1207,,,,,,,,
(-) Aprovisionamientos,1208,(67.192),"(49,29)",(43.028),"(34,49)",(118.310),"(44,62)",(92.249),"(37,50)"
(+) Otros ingresos de explotación,1209,,,,,,,,
(-) Gastos de personal,1217,(29.931),"(21,96)",(31.095),"(24,93)",(60.465),"(22,80)",(61.769),"(25,11)"
(-) Otros gastos de explotación,1210,(33.657),"(24,69)",(32.496),"(26,05)",(58.916),"(22,22)",(56.361),"(22,91)"
(-) Amortización del inmovilizado,1211,(5.661),"(4,15)",(5.068),"(4,06)",(11.023),"(4,16)",(9.975),"(4,05)"
(+) Imputación de subvenciones de inmovilizado no financiero y otras,1212,605,"0,44",412,"0,33",1.565,"0,59",1.013,"0,41"
(+/-) Deterioro y resultado por enajenaciones del inmovilizado,1214,,,,,,,,
(+/-) Otros resultados,1215,,,,,3.997,"1,51",,
= RESULTADO DE EXPLOTACIÓN,1245,8.669,"6,36",7.230,"5,80",28.300,"10,67",21.842,"8,88"
(+) Ingresos financieros,1250,333,"0,24",478,"0,38",426,"0,16",837,"0,34"
(-) Gastos financieros,1251,(388),"(0,28)",(1.103),"(0,88)",(915),"(0,35)",(1.781),"(0,72)"
(+/-) Variación de valor razonable en instrumentos financieros,1252,,,,,,,,
(+/-) Diferencias de cambio,1254,,,,,,,,
(+/-) Deterioro y resultado por enajenaciones de instrumentos financieros,1255,,,,,,,,
= RESULTADO FINANCIERO,1256,(55),"(0,04)",(625),"(0,50)",(489),"(0,18)",(944),"(0,38)"
(+/-) Resultado de entidades valoradas por el método de la participación,1253,(29),"(0,02)",,,71,"0,03",,
= RESULTADO ANTES DE IMPUESTOS,1265,8.585,"6,30",6.605,"5,29",27.882,"10,51",20.898,"8,49"
(+/-) Impuesto sobre beneficios,1270,(500),"(0,37)",(366),"(0,29)",(1.793),"(0,68)",(1.089),"(0,44)"
= RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS,1280,8.085,"5,93",6.239,"5,00",26.089,"9,84",19.809,"8,05"
(+/-) Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos,1285,,,,,,,,
= RESULTADO CONSOLIDADO DEL EJERCICIO,1288,8.085,"5,93",6.239,"5,00",26.089,"9,84",19.809,"8,05"
a) Resultado atribuido a la entidad dominante,1300,8.085,"5,93",6.239,"5,00",26.089,"9,84",19.809,"8,05"
b) Resultado atribuido a intereses minoritarios,1289,,,,,,,,
