,,Equity,,,,,,,
,,,Share,,,Other,Adjustment,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,s for,and,Total
,,capital,and reserves (1),stock,(loss) for the period,instrume nts,changes in value,legacies received,equity
Opening balance at 01/01/2016,3050,3.000,107.126,(8.112),17.509,,(2),4.408,123.929
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance,3055,3.000,107.126,(8.112),17.509,,(2),4.408,123.929
I. Total recognized income/(expenses),3060,,,,29.932,,(1),(504),29.427
II. Transactions with shareholders or owners,3065,,48,(589),(6.853),,,,(7.394)
1. Capital increases/(reductions),3066,,,,,,,,
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(6.853),,,,(6.853)
4. Treasury stock transactions (net),3069,,48,(589),,,,,(541)
5.Increases/(reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,10.442,,(10.656),,,,(214)
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,10.656,,(10.656),,,,-
3. Other changes,3078,,(214),,,,,,(214)
Closing balance at 31/12/2016,3080,3.000,117.616,(8.701),29.932,,(3),3.904,145.748
