,,,Land and buildings,,Technical,,Total
,,,,,facilities &,,
,,,,,other,,
,,,,,"property, plant",,
,,,,,& equipment,,
Balance at 01.01.17,,,,,,,
Cost,,,"7,284","61,103",,,"68,387"
Accumulated amortisation,,,"(1,008)","(26,208)",,,"(27,216)"
Carrying amount 01.01.17,,,"6,276","34,895",,,"41,171"
Additions,,,-,"6,560",,,"6,560"
Retirements,,,-,(47),,,(47)
Eliminations from amortisation,,,-,22,,,22
Amortisation charge,,,(136),"(4,613)",,,"(4,749)"
Balance at 31.12.17,,,,,,,
Cost,,,"7,284","67,616",,,"74,900"
Accumulated amortisation,,,"(1,144)","(30,799)",,,"(31,943)"
Carrying amount 31.12.17,,,"6,140","36,817",,,"42,957"
Additions,,,-,"5,461",,,"5,461"
Retirements,,,-,"(2,203)",,,"(2,203)"
Eliminations from amortisation,,,-,4,,,4
Amortisation charge,,,(136),"(4,799)",,,"(4,935)"
Balance at 31.12.18,,,,,,,
Cost,,,"7,284","70,874",,,"78,158"
Accumulated amortisation,,,"(1,280)","(35,594)",,,"(36,874)"
Carrying amount 31.12.18,,,"6,004","35,280",,,"41,284"
