Deferred tax assets,,,,,,Available-for- sale financial assets,Provisions,Other,Total
,,,,,Tax credits,,,,
,,,,,pending,,,,
,,,,,application,,,,
"At January 1, 2017",,,,,,(1),182,914,"3,607"
,"At January 1, 2017",,,,"2,512",,,,
,(Charged)/credited to profit and loss,,,,"5,037",-,8,(1),"5,044"
"At 31 December, 2017",,,,,,(1),190,913,"8,651"
,"At 31 December, 2017",,,,"7,549",,,,
,(Charged)/credited to profit and loss,,,,"2,077",-,50,10,"2,137"
"At 31 December, 2018",,,,,,(1),240,923,"10,788"
,,,,,"9,626",,,,
