,,,Thousands of euros,,,,,
,,,2018,,,2017,,
Amounts received from and paid for equity instruments:,,,,,,,,
- Issue of equity instruments (Note 14),,,"88,000",,,-,,
,,,"88,000",,,-,,
,,,,"88,000",,,-,
Amounts received from and paid for financial liability instruments:,,,,,,,,
,a) Issue,,,,,,,
,- Bank borrowings (Note 18),,,"5,000",,,"20,000",
- Other debt (Nota 18),,,"2,043",,,"2,350",,
,,,"7,043",,,"22,350",,
b) Reimbursement and repayment of:,,,,,,,,
- Bank borrowings,,,"(13,222)",,,"(9,993)",,
- Debt with Group and associated companies (Note 31 g),,,"(1,572)",,,-,,
- Other debt,,,"(2,832)",,,"(2,908)",,
- Interest payments,,,(187),,,(253),,
,,,"(17,813)",,,"(13,154)",,
Dividend payments and remuneration of other equity instruments,,,,,,,,
- Dividends (Note 15 b) & d),,,"(5,952)",,,"(9,025)",,
- Transactions with treasury shares (Note 15 c),,,(152),,,479,,
,,,"(6,104)",,,"(8,546)",,
Cash flows generated (used) in financing activities,,,"71,126",,,650,,
