,,,,,,,,,Manufacturing,,,Marketing,,,Other,,,,Aggregated
,,,,,,,,,,,,,,,,,,,total
Total assets,,,,,,,,,"202,858",,,"410,771",,,581,,,"614,210",
,Total assets,,,,,,,,,"202,858",,,"410,771",,,581,,,"614,210"
,Of which:,,,,,,,,,,,,,,,,,,
Investments in Group companies,,,,,,,,,-,,,"8,899",,,-,,,"8,899",
,,,,,,,,,,,,,,,,,,,"8,899"
Increases in non-current non-financial assets,,,,,,,,,"11,014",,,"15,445",,,-,,,"26,459",
,Increases in non-current non-financial assets,,,,,,,,,"11,014",,,"15,445",,,-,,,"26,459"
,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,"(147,128)",,,"(166,664)",,,(6),,,"(313,798)",
,,,,,,,,,,,,,,,,,,,"(313,798)"
