,,,"31 December, 2018",,,,,,"31 December, 2017",,,,,
,,,,"31 December, 2018",,,,,,"31 December, 2017",,,,
Condensed statement of comprehensive income,,,"Alentia Biotech, S.L.",,,,Enervit,,"Alentia Biotech, S.L.",,,,Enervit,
,,,,,,,"Nutrition,",,,,,,"Nutrition,",
,,,,,,,S.L.,,,,,,S.L.,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Revenue,,,-,,,"7,379",,,-,,,"8,347",,
,,,,,,,"7,379",,,,,,,
Procurements,,,-,,,"(5,126)",,,-,,,"(5,786)",,
,,,,,,,"(5,126)",,,,,,,
Other operating income,,,-,,,4,,,-,,,-,,
,,,,,,,4,,,,,,,
Employee benefit expenses,,,-,,,(861),,,-,,,"(1,131)",,
,,,,,,,(861),,,,,,,
Other operating expenses,,,(2),,,"(1,082)",,,(1),,,"(2,320)",,
,,,,,,,"(1,082)",,,,,,,
Amortisation and depreciation,,,-,,,(215),,,-,,,(208),,
,,,,,,,(215),,,,,,,
Operating profit / (loss),,,(2),,,99,,,(1),,,"(1,098)",,
,,,,,,,99,,,,,,,
Finance costs - net,,,-,,,(38),,,1,,,(13),,
,,,,,,,(38),,,,,,,
Income tax,,,-,,,(13),,,-,,,-,,
,,,,,,,(13),,,,,,,
Profit / (loss) for period,,,(2),,,48,,,-,,,"(1,111)",,
,Profit / (loss) for period,,,(2),,,48,,,-,,,"(1,111)",
,,,,,,,,,,,,,,
Other comprehensive income,,,-,,,-,,,-,,,-,,
,Other comprehensive income,,,-,,,-,,,-,,,-,
,,,,,,,,,,,,,,
TOTAL COMPREHENSIVE INCOME,,,(2),,,48,,,-,,,"(1,111)",,
,TOTAL COMPREHENSIVE INCOME,,,(2),,,48,,,-,,,"(1,111)",
,,,,,,,,,,,,,,
,Dividends received from joint ventures,,,-,,,-,,,-,,,-,
