,,,2018,,,2017,,
Trade receivables,,,"52,052",,,"42,830",,
,Trade receivables,,,"52,052",,,"42,830",
,Less: loss allowance,,,"(1,099)",,,"(1,837)",
Trade receivables – Net (13.a),,,"50,953",,,"40,993",,
Other receivables,,,86,,,153,,
Receivables from related parties (Nota 32),,,123,,,202,,
Deposits (13.b),,,"1,394",,,"1,374",,
Employee advances,,,220,,,271,,
Public authorities (13.c),,,"7,469",,,"6,819",,
Total,,,"60,245",,,"49,812",,
Less: non-current portion: financial receivables,,,65,,,65,,
Current portion,,,"60,180",,,"49,747",,
