,,,Thousands of,,,
,,,euros,,Years,
,,,Face,Initial fair,Repayment,Grace
Company,Government entity,Project,value,value,period,period
Lab. Farm. Rovi,Technological Corporation of Andalusia,(1),4,3,10,4
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),160,136,10,4
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),712,593,10,4
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),163,146,10,4
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),312,261,10,4
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),37,33,10,4
Lab. Farm. Rovi,Industrial Technological Development Centre,(1),645,548,10,3
,,,,,,
,,,"2,033","1,720",,
