Corporate name,Registered office,Ownership interest,,Activity,Auditor
,,2019,2018,,
"Pan Química Farmacéutica, S.A.","Madrid, C/Rufino González, 50",100%,100%,(1),A
"Gineladius, S.L.","Madrid, C/Rufino González, 50",100%,100%,(2),N/A
"Rovi Pharma Industrial Services, S.A.U. (formerly Frosst Ibérica, S.A. until November 2019) (a)","Alcalá de Henares, Avenida Complutense, 140 (Madrid)",100%,100%,(1),A
"Rovi Contract Manufacturing, S.L. (a)","Madrid, C/Julián Camarillo, 35",n/a,100%,(1),A
"Bemipharma Manufacturing, S.L. (a)","Madrid, C/Julián Camarillo, 35",n/a,100%,(1),N/A
Bertex Pharma GmbH,Inselstr.17. 14129 Berlin (Germany),100%,100%,(3),N/A
Rovi Biotech Limited,"10-18 Union Street, London (United Kingdom)",100%,100%,(1),B
"Rovi Biotech, S.r.l","Via Monte Rosa 91, Milan (Italy)",100%,100%,(1),N/A
"Rovi, GmbH","Ruhlandstr. 5, Bad Tölz (France)",100%,100%,(1),N/A
"Rovi, S.A.S.","24 Rue du Drac, Seyssins (France)",100%,100%,(1),C
Rovi Biotech sp.z.o.o.,"ul. Wincentego Rzymowskiego, 53, Varsovia (Poland)",100%,n/a,(1),N/A
"Rovi Escúzar, S.L.","Madrid, C/Julián Camarillo, 35",100%,n/a,(1),N/A
