,,,,2020,,,,,2019,,,,,
DISTRIBUTION EMPLOYEES BY CONTRACT TYPE/GENDER,,,Men,,Women,TOTAL,,Men,,Women,TOTAL,,Total variation,
,Permanent full-time,,544 589 1 7 - -,,,"1,133",,496 526 - 8 4 35,,,,"1,022",,
,Permanent part-time,,,,,8,,,,,,8,,
,Permanent reduced hours,,,,,0,,,,,,-,,
,Total permanent,,545 596,,,"1,141",,500 569,,,,"1,069",7%,
,Temporary specific project or,,4 10 74 74 5 - 34 47 10 20,,,14,,2 1 61 48 6 8 31 51 14 19,,,3,,,
,service,,,,,,,,,,,,,
,Temporary work backlog,,,,,148,,,,,,109,,
,Temporary substitution contract,,,,,5,,,,,,14,,
,Training/apprenticeship,,,,,81,,,,,,82,,
,Temporary part-time,,,,,30,,,,,,33,,
,Total temporary,,127 151,,,278,,114 127,,,241,,,
,TOTAL,,672 747,,,"1,419",,614 696,,,,"1,310",,
