,,31 December,
,Note,2021,2020
NON-CURRENT ASSETS,,"131,457","141,497"
Intangible assets,5,"33,816","37,487"
,,,
"Property, plant & equipment",6,"52,396","52,130"
,,,
Non-current assets in group and associated companies,8 & 9,"41,418","45,484"
Equity instruments,,"15,455","13,680"
Credits to group companies,31,"25,963","31,804"
,,,
Non-current financial investments,,"1,485","1,484"
Equity instruments,7 & 11,64,63
Other financial assets,7 & 10,"1,421","1,421"
,,,
Deferred tax assets,21,"2,342","4,912"
,,,
CURRENT ASSETS,,"346,642","414,030"
Inventories,12,"105,784","74,677"
,,,
Trade and other receivables,,"202,206","305,206"
"Trade receivables, sales of goods and services",7 & 10,"49,666","43,711"
"Trade receivables, group and associated companies",7 & 10,"136,079","249,281"
Sundry debtors,7 & 10,26,75
Current tax assets,23,"9,889","8,342"
Other credits with public authorities,23,"6,546","3,797"
,,,
Current investments in group & associated companies,7 & 10,312,—
Credits to companies,,312,—
,,,
Current accruals and prepayments,,376,3
,,,
Cash and cash equivalents,7 & 13,"37,964","34,144"
,,,
TOTAL ASSETS,,"478,099","555,527"
