,"31 December, 2021",,"31 December, 2020",
Condensed statement of recognised income and,Alentia,"Enervit Nutrition, S.L.",,
expenses,"Biotech, S.L.",,,
,,,,
Revenue,—,"7,442",—,"5,669"
Cost of sales,—,"(5,929)",—,"(4,507)"
Employee benefit expenses,—,(375),—,(501)
Other operating income,(4),(565),—,(599)
Amortisation and depreciation,—,(209),—,(212)
Operating profit / (loss),(4),364,—,(150)
Finance costs – net,—,—,—,(7)
Corporate income tax,—,—,—,1
Profit / (loss) for period,(4),364,—,(156)
,,,,
Other comprehensive income,—,—,—,—
,,,,
TOTAL RECOGNISED INCOME AND EXPENSES,(4),364,—,(156)
,,,,
Dividends received from joint ventures,—,—,—,—
