,Thousand euros,
,2021,2020
Pre-tax profit for the year,"58,894","75,216"
Adjustment to the profit:,,
- Amortization/depreciation of intangible assets and PPE (Notes 5 & &),"10,303","9,710"
- Finance income (Note 24),(514),(649)
- Finance costs (Note 24),655,789
- Adjustments for change in value of financial instruments,(908),796
- Gain or loss on derecognition or disposal of financial instruments,"(1,161)",245
- Net change in provisions,"(6,311)","5,914"
- Grant for non-financial assets and distribution licence revenue,"(6,473)","(2,101)"
- Share-based payments,"1,403",—
- Other revenue and expenses,"3,067","(1,751)"
,"58,955","88,169"
Changes in working capital:,,
- Inventories,"(34,221)","(5,165)"
- Debtors and other receivables,"13,547","(141,429)"
- Creditors and other payables,"48,575","76,961"
,"27,901","(69,633)"
Other cash flows from operating activities,,
- Income tax received (paid),"(22,694)","(5,884)"
- Other amounts received (paid) (Note19),518,"1,253"
,"(22,176)","(4,631)"
Cash flows generated (used) in operating activities,"64,680","13,905"
