,% Participación directa,Valor contable de la participación,Capital,Reservas,Resultado del periodo,Total Fondos propios
"Pan Química Farmacéutica, S.A.U.",100 % 100 % 100 %,1.771 293,601 1.274 68 30 393 (26) 25 66 (15) 7.816 31.216 111.444 6 (133) 91 10 562 436 25 1.363 552 5 — 27 21 413 (159) 30 490 (294) 18 258 (16),,,1.943 397 76
"Gineladius, S.L.U.",,,,,,
Bertex Pharma GmbH (Nota 29.b),,1.236 7.370 7 340 1.575 1.510 487 590,,,,
"Rovi Pharma Industrial Services, S.A.U.",100 %,,,,,150.476
"Rovi Biotech, Limited",100 % 100 % 100 % 100 % 100 % 100 % 100 %,,,,,(36)
"Rovi Biotech, S.r.l.",,,,,,1.008 1.940 32 275 226 260
"Rovi Biotech, GmbH",,,,,,
Rovi S.A.S.,,,,,,
Rovi Biotech sp.z.o.o.,,,,,,
"Rovi Escúzar, S.L.U.",,,,,,
Rovi Biotech GmbH,,270,,,,
,,15.449,,,,
