,Miles de euros,,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,,
Saldo ingresos y gastos,,,39.116,,,,(407)
,Aumentos,Disminuciones,Total,,Aumentos,Disminuciones,Total
Impuesto sobre Sociedades,,,5.564,,,,(139)
Diferencias permanentes,,,,,,,
- Individuales,634 (13.384) (12.750),,,,— — — — — —,,
- De consolidación,—,— —,,,,,
Diferencias temporarias:,,,,,,,
- Individuales,,,,,,,
- con origen en el ejercicio,2.435,—,2.435,,— — — — — —,,
- con origen en ejercicios ant.,239 (6.879) (6.640),,,,,,
- De Consolidación,,,,,,,
- con origen en el ejercicio,— (14.317) (14.317) 12.401 — 12.401,,,,— — — — — —,,
- con origen en ejercicios ant.,,,,,,,
Base imponible previa,,,25.809,,,,(546)
