,Fabricación,Comercialización,Otros,Total agregado,Operaciones Inter- segmentos,Total Consolidado
Total ingresos segmento,471.788 383.975,,—,855.763,(207.086),648.677
,,,,,,
Beneficio/(pérdida),136.122 44.492,,(40) 180.574 (27.497) 153.077,,,
Impuesto de sociedades,35.433 (4.924) (9) 30.500 (949) 29.551,,,,,
Rtdo. antes de imptos.,171.555 39.568 (49) 211.074 (28.446) 182.628,,,,,
Resultado financiero,616 (26.344) 11.117 10.247,,— —,(25.728) 24.674 (1.054),,
Amortización,,,,21.364,—,21.364
EBITDA (*),183.288 23.471 (49) 206.710 (3.772) 202.938,,,,,
,,,,,,
Amortización,(11.117) (10.247),,—,(21.364),—,(21.364)
EBIT (**),172.171 13.224 (49) 185.346 (3.772) 181.574,,,,,
