,2022 2021,
Beneficio antes de impuestos,257.967 182.628 (64.492) (45.657) 50 46,
Impuesto calculado al tipo impositivo nacional del 25%,,
Resultados de negocios conjuntos,,
Movimiento de bases imponibles negativas activadas,—,592
Ajuste gasto IS ejercicios anteriores,442 (508) 837 104 (267) 74 6.931 19.667 (942) (3.869),
Gastos no deducibles a efectos fiscales,,
Diferencia impositiva en resultados de dependientes,,
Deducciones de I+D aplicadas,,
Movimiento de deducciones de I+D activadas,,
Deducción por doble imposición internacional,(861),—
Gasto por impuesto,(58.302) (29.551),
