,Nota,Al 31,de diciembre
,,2023,2022
PATRIMONIO NETO,,89.322,228.092
"Fondos propios Capital Prima de emisión Reservas (Acciones y participaciones en patrimonio propias) Resultados de ejercicios anteriores Resultado del ejercicio Ajustes por cambio de valor Activos financieros a valor razonable con cambios en patrimonio neto Diferencias de conversión Subvenciones, donaciones y legados recibidos",14 14 15 15 15 16 17,87.975 3.241 87.636 7.032 (107.676) 85.671 12.071 (20) — (20) 1.367,226.386 3.241 87.636 7.032 (27.561) 116.922 39.116 12 (2) 14 1.694
PASIVO NO CORRIENTE,,143.899,131.945
Deudas a largo plazo Deudas con entidades de crédito Otros pasivos financieros Deudas con empresas del grupo y asociadas a largo plazo Pasivos por impuesto diferido Periodificaciones a largo plazo,7 y 18 7 y 18 7 y 18 21 19,38.557 31.250 7.307 99.800 4.111 1.431,45.893 37.679 8.214 80.000 4.507 1.545
PASIVO CORRIENTE,,231.157,125.604
"Provisiones a corto plazo Deudas a corto plazo Deudas con entidades de crédito Instrumentos financieros derivados Otros pasivos financieros Deudas con empresas del grupo y asociadas a corto plazo Acreedores comerciales y otras cuentas a pagar Proveedores Proveedores, empresas del grupo y asociadas Acreedores varios Personal (remuneraciones pendientes de pago) Pasivos por impuesto corriente Otras deudas con las Administraciones Públicas",20 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 7 y 18 23 23,8.235 8.004 6.495 — 1.509 2.216 212.378 34.460 162.635 2.516 5.851 5.177 1.739,5.148 8.180 6.428 28 1.724 385 111.597 55.915 46.792 1.947 5.288 — 1.655 294
Periodificaciones a corto plazo,19,324,
,,,
TOTAL PATRIMONIO NETO Y PASIVO,,464.378,485.641
