Instrumentos financieros por categoría,2023 2022
ACTIVOS FINANCIEROS Activos financieros no corrientes,
,89 74
Cuentas financieras a cobrar (Nota 13) Valores de renta variable (Nota 11),65 65 24 9
Activos financieros corrientes,151.457 286.659
Clientes y otras cuentas a cobrar (Nota 13) Efectivo y equivalentes al efectivo (Nota 14),126.135 161.714 25.322 124.945
PASIVOS FINANCIEROS Pasivos financieros no corrientes,
,53.673 60.986
Pasivos contractuales (Nota 20) Deuda financiera (Nota 18),1.431 1.545 52.242 59.441
Pasivos financieros corrientes,187.998 287.262
Pasivos contractuales (Nota 20) Deuda financiera (Nota 18) Proveedores y otras cuentas a pagar (Nota 17),39.044 114.901 13.185 12.725 135.769 159.636
