,31 de diciembre de 2023,,31 de diciembre de 2022,
Estado del resultado global resumido,"Cells IA Technologies , S.L.","Enervit Nutrition, S.L.","Alentia Biotech, S.L.","Enervit Nutrition, S.L."
,,,,
Importe neto de la cifra de negocio,— — (45) (76) (7),5.727 (4.777) (351) (448) (335),— — —,7.377 (6.027) (401)
Aprovisionamientos y variación de existencias,,,,
Gastos de personal,,,,
Otros gastos de explotación,,,— (542),
Amortizaciones,,,—,(201)
Resultado de explotación,(128),(184),— 206,
Resultado financiero,—,—,— —,
Impuesto sobre beneficios,—,—,— 192,
Resultado del periodo,(128),(184),— 398,
,,,,
Otro resultado global,— —,,— —,
,,,,
TOTAL RESULTADO GLOBAL,(128),(184),— 398,
,,,,
Dividendos recibidos de negocios conjuntos,— —,,— —,
