,Thousand euros,
,2024 2023,
Finance income:,,
Gains and losses on equity instruments,,
– In group and associated companies (Note 31.f),"63,550 —",
Gains and losses on marketable securities and other financial instruments,,
– In group and associated companies (Note 31.f),"1,816",
– Of third parties,200 512,
,"65,566 1,423",
Finance costs:,"(1,986) (650) (3,057) (1,555)",
Debt with third parties,,
,"(5,043) (2,205)",
Change in fair value of financial instruments,,
Derivatives,— 28,
,—,28
Foreign exchange differences:,,
Foreign exchange differences,25 (104),
,25 (104),
Impairment and proceeds on disposal of financial instruments,,
Proceeds from disposals and other,"(190) 1,097",
,"(190) 1,097",
,,
Finance income/(costs),"60,358 239",
