2024,,,,,,
,,,,,,TOTAL
Entity,EIB,EIB,EIB,Santander BBVA,,
Face value,"5,000 40,000 10,000 25,000 25,000",,,,,
Interest rate,Eur3+0.844%,0.681% Fixed,Eur3+0.655%,3.03% Fixed,3.49% Fixed,
,,,,,,
2025 2026 2027 2028,"739 5,737 75 4,791",,,,"4,752","16,280"
,"714 5,714 — 4,922 4,908 16,258 714 5,714 1,071 5,071 5,081 17,651 536 5,714 1,429 5,225 5,261 18,165",,,,,
2029,"— 5,714 1,429 2,669 2,702",,,,,"12,514"
2030 onward,—,—,"6,071",— —,,"6,071"
,"2,703 28,593 10,075 22,678 22,704 86,939",,,,,
Non-current,"1,964 22,856 10,000 17,887 17,952 70,659",,,,,
Current,"739 5,737 75 4,791 4,752 16,280",,,,,
