,Miles de euros,
,2024 2023,
Ingresos financieros:,,
De participaciones en instrumentos de patrimonio - En empresas del grupo y asociadas (Nota 31.f) De valores negociables y otros instrumentos financieros - De empresas del grupo y asociadas (Nota 31.h) - De terceros,,
,63.550 —,
,,
,1.816,
,200 512,
,65.566 1.423,
Gastos financieros:,(1.986) (650) (3.057) (1.555),
Por deudas con terceros Por deudas con empresas del Grupo (Nota 31.h),,
Variación en el valor razonable de instrumentos financieros:,(5.043) (2.205),
,,
Derivados,— 28,
Diferencias de cambio:,—,28
,,
Diferencias de cambio,25 (104),
Deterioro y resultado por enajenaciones de instrumentos financieros:,25 (104),
,,
Resultados por enajenaciones y otras,(190) 1.097,
,(190) 1.097,
,,
Resultado financiero,60.358 239,
