,Miles de euros
,2024 2023
Resultado del ejercicio antes de impuestos,73.859
Ajustes del resultado:,
- Amortización del inmovilizado (Notas 5 y 6),9.408 (65.566) 5.043 (25) — 190 5.881 (1.205)
- Ingresos financieros (Nota 24),
- Gastos financieros (Nota 24),
- Diferencias de cambio (Nota 24),
- Ajustes por cambios de valor de instrumentos financieros,
- Resultados por bajas y enajenaciones de instrumentos financieros,
- Variación neta de provisiones (Nota 20),
- Subv. de inmovilizado no financiero e ingresos por licencias de distribución,
- Otros ingresos y gastos,1.655
,29.240
Cambios en el capital corriente:,
- Existencias,(12.246)
- Deudores y otras cuentas a cobrar,6.277 72.624
- Acreedores y otras cuentas a pagar,
,66.655
Otros flujos de efectivo de las actividades de explotación:,
- Cobros (pagos) por impuesto sobre beneficios,(43.251) 793
- Otros Cobros (pagos) (Nota 19),
,(42.458)
Flujos de efectivo generados / (utilizados) de las actividades de explotación,53.437
