,,A 31 de diciembre de,
,Nota,2024,2023
Resultado del ejercicio,,136.876,170.299
Partidas que pueden reclasificarse con posterioridad al resultado,11,,
,,(2),(13)
Cambios en el valor de valores de renta variable,,—,7
Diferencias de conversión Efecto impositivo,,(2) —,(18) (2)
,,,
"Otro resultado global del ejercicio, neto de impuestos",,(2),(13)
Resultado global total del ejercicio,,136.874,170.286
,,,
Atribuible a: - Propietarios de la sociedad dominante - Participaciones no dominantes,,,
,,136.879,170.322
,,(5),(36)
