,Capital social (Nota 15),Prima de emisión (Nota 15),Reserva legal (Nota 16),Acciones p ropias (Nota 16),Resultados de ejercicios anteriores y reservas voluntarias (Nota 16),Resultado del ejercicio (Nota 16),Otro resultado global acumulado (Nota 16),Participaciones no dominantes (Nota 16),TOTAL PATRIMONIO NETO
Saldo a 31 de diciembre de 2022,3.241,87.636,673,(27.561),256.362,199.669,(8),1.367,521.379
Resultado global total del ejercicio,— — — — —,— — — — —,—,—,—,170.335,(13),(36),170.286
Traspaso del resultado de 2022,,,— —,—,130.620,(130.620),—,—,—
Dividendos 2022 (Nota 16.c),,,,—,—,(69.049),— — —,— — —,(69.049) (133.900) 52.639
Adquisición de acciones propias (Nota 16.d),,,—,(133.900),—,—,,,
Reemisión de acciones propias (Nota 16.d),,,—,53.785,(1.146),—,,,
Participaciones no dominantes,—,—,—,—,—,—,—,2.776,2.776
Otros movimientos (Nota 16.c),—,—,—,—,(637),—,—,—,(637)
Saldo a 31 de diciembre de 2023,3.241,87.636,673,(107.676),385.199,170.335,(21),4.107,543.494
Resultado global total del ejercicio Traspaso del resultado de 2023 Dividendos 2023 (Nota 16.c) Adquisición de acciones propias (Nota 16.d) Reemisión de acciones propias (Nota 16.d),—,—,—,—,—,136.881,(2),(5),136.874
,— — — —,— — — —,— — — —,— — (89.708) 39.376,113.884 — — 2.545,(113.884) (56.451) — —,— — — —,— — — —,— (56.451) (89.708) 41.921
Reducción de capital (Nota 15),(167),—,—,152.463,(152.296),—,—,—,—
Participaciones no dominantes,—,—,—,—,—,—,—,5.410,5.410
Saldo a 31 de diciembre de 2024,3.074,87.636,673,(5.545),349.332,136.881,(23),9.512,581.540
