2024,,,,,,TOTAL
Entidad Nominal Tipo interés,BEI BEI BEI Santander BBVA,,,,,
,5.000 40.000 10.000 25.000 25.000,,,,,
,"Eur3+0,844% 0,681% Fijo Eur3+0,655% 3,03% Fijo 3,49% Fijo",,,,,
,,,,,,
2025 2026 2027 2028,739 5.737 75 4.791,,,,4.752,16.280
,714 5.714 — 4.922 4.908 16.258 714 5.714 1.071 5.071 5.081 17.651 536 5.714 1.429 5.225 5.261 18.165,,,,,
2029 2030 en adelante,— 5.714 1.429 2.669 2.702,,,,,12.514
,—,—,6.071,—,—,6.071
No corrientes Corrientes,2.703 28.593 10.075 22.678 22.704 86.939,,,,,
,1.964 22.856 10.000 17.887 17.952 70.659,,,,,
,739 5.737 75 4.791 4.752 16.280,,,,,
