2025,Escúzar,Granada,Madrid,SSRR,Alcalá de Henares,Distribución,Total 2025,Total 2024,Variación %
"Combustibles procedentes de carbón y 0,00 0,00 0,00 0,00 0,00 0,00 de sus derivados",,,,,,,"0,00 0,00 — %",,
"Consumo de combustible procedente del petróleo crudo y de productos 25,53 24,74 3,59 31,41 17,28 11.312,64 petrolíferos",,,,,,,"11.415,19 8.279,59 37,87 %34",,
"Consumo de combustible procedente del 4.435,68 3.074,95 3.918,11 8.425,12 14.946,91 0,00 gas natural",,,,,,,"34.800,76 35.935,98 -3,16 %",,
"Consumo de combustible procedente de 0,00 0,00 0,00 0,00 0,00 0,00 otras fuentes fósiles",,,,,,,"0,00 0,00 — %",,
"Consumo de electricidad comprada o adquirida procedente de fuentes no 0,00 0,00 0,00 0,00 0,00 99,44 renovables",,,,,,,"99,44 109,43 -9,13 %",,
"Consumo total de energía fósil 4.461,20 3.099,69 3.921,70 8.456,53 14.964,19 11.412,08",,,,,,,"46.315,39 44.325,00 4,49 %",,
"Proporción de fuentes fósiles en el 52,22 50,98 41,58 46,81 56,86 94,02 consumo total de energía (%)",,,,,,,"57,48 55,60 3,39 %",,
Consumo de combustibles procedente de fuentes nucleares,"0,00","0,00 0,00 0,00 0,00 0,00",,,,,"0,00 0,00 — %",,
"Proporción de fuentes nucleares en el 0,00 0,00 0,00 0,00 0,00 0,00 consumo total de energía (%)",,,,,,,"0,00 0,00 — %",,
"Consumo de combustible por fuente renovable, como la biomasa (que incluye también los residuos industriales y 0,00 0,00 0,00 0,00 0,00 0,00 municipales de origen biológico, el biogás, el hidrógeno renovable, etc.)",,,,,,,"0,00 0,00 — %",,
"Consumo de electricidad, calor, vapor y refrigeración comprados o adquiridos 4.082,34 2.980,04 5.509,87 9.610,83 11.354,68 725,84 procedentes de fuentes renovables",,,,,,,"34.263,59 35.403,26 -3,22 %",,
"Consumo de energía renovable autogenerada que no se utilice como 0,00 0,00 0,00 0,00 0,00 0,00 combustible",,,,,,,"0,00 0,00 — %",,
"Consumo total de energía renovable 4.082,34 2.980,04 5.509,87 9.610,83 11.354,68 725,84 (MWh)",,,,,,,"34.263,59 35.403,26 -3,22 %",,
"Proporción de fuentes renovables en el 47,78 49,02 58,42 53,19 43,14 5,98 consumo total de energía (%)",,,,,,,"42,52 44,40 -4,24 %",,
Consumo total de energía (MWh),"8.543,54","6.079,74","9.431,56","18.067,37","26.318,86","12.137,91","80.578,98","79.728,26","1,07 %"
