,Hombres,,Mujeres,,Otro,,No notificado,,Total,,
,2025,2024,2025,2024,2025,2024,2025,2024,2025,2024,% Variación
Total de personal asalariado,,,,,,,,,,,
,,,,,,,,,"2.232 2.197 1,59 %",,
Total de personal asalariado permanente,,,,,,,,,,,
,,,,,,,,,"2.045 1.994 2,56 %",,
Total de personal asalariado temporal,,,,,,,,,,,
,,,,,,,,,"187 203 -7,88 %",,
Total de personal asalariado de horas no garantizadas,,,,,,,,,,,
,,,,,,,,,0 0 — %,,
Total de personal asalariado permanente a tiempo completo,,,,,,,,,,,
,,,,,,,,,"1.950 1.927 1,19 %",,
Total de personal asalariado permanente a tiempo parcial,,,,,,,,,,,
,,,,,,,,,"95 67 41,79 %",,
Total de personal asalariado temporal a tiempo completo,,,,,,,,,,,
,,,,,,,,,"156 171 -8,77 %",,
Total de personal asalariado temporal a tiempo parcial,,,,,,,,,,,
,,,,,,,,,"31 32 -3,13 %",,
