,30 June 2024,,,31 December 2023,
Condensed balance sheet,"Cells IA Technologies, Terafront S.L. Farmatech, S.L.",,,"Cells IA Technologies, Enervit S.L. Nutrition, S.L.",
,,,,,
Current,,,,,
Cash and cash equivalents Other current assets (excluding cash),"146 1,000 274 73,867",,,472 — 16 —,
Total current assets,"420 74,867",,,488 —,
Financial liabilities (excluding trade payables),(2) —,,,—,—
Other current liabilities (including trade payables),(53),—,,(17),—
Total current liabilities,(55),—,,(17),—
,,,,,
Non-current,,,,,
"Property, plant and equipment",5,—,,5 — 19 —,
Intangible assets,14 —,,,,
Deferred tax assets,32,—,,7,—
Total non-current assets,51,—,,31,—
Total non-current liabilties,— —,,,— —,
,,,,,
NET ASSETS,"416 74,867",,,502,—
