,Manufacturing,Marketing Other,,Aggregated total,Inter- segment transactions,Consolidated total
Total segment revenues Profit/(loss) Corporate income tax Profit/(loss) before tax,"201,147","237,373",29,"438,549 (123,959) 314,590",,
,,,,,,
,"47,402 (248) (139) 47,015 (7,315) 39,700 9,134 1,478 (49) 10,563 (637) 9,926",,,,,
,"56,536 1,230 (188) 57,578 (7,952) 49,626",,,,,
Finance costs – net Amortisation/depreciation,"(458) 2,102 10,127 4,666",,(390) 50,"1,254 — 1,254",,
,,,,"14,843",(95),"14,748"
EBITDA (*),"66,205 7,998 (528) 73,675 (8,047) 65,628",,,,,
Amortisation/depreciation,,,,,,
,"(10,127) (4,666)",,(50),"(14,843)",95,"(14,748)"
EBIT (**),"56,078","3,332 (578)",,"58,832 (7,952) 50,880",,
