,"Technical IT facilities, Furniture, equipment, Land & machinery & fittings & vehicles & Rights of PPE in buildings tools other other use progress",,,Total
Balance at 01.01.24,,,,
Cost Accumulated depreciation,"60,645 347,377 4,752 20,840 38,602 8,469 (19,610) (166,227) (3,067) (17,881) (20,248) —",,,"480,685 (227,033)"
Net carrying amt 01.01.24,"41,035 181,150 1,685 2,959 18,354 8,469 253,652",,,
Additions Retirements,"489 15,104 160 411 1,483 1,862 19,509",,,
,— (44) — (65) — 44 — 56,—,— (109),
Removals from depreciation,,— —,,100
Transfers,"5,325 (4,728) 6 4 — (607) —",,,
Depreciation charge,"(417) (7,851) (102) (708) (2,860)",,—,"(11,938)"
Balance at 30.06.24,,,,
Cost Accumulated depreciation,"66,459 357,709 4,918 21,190 40,085 9,724 500,085 (20,027) (174,034) (3,169) (18,533) (23,108) — (238,871)",,,
Net carrying amt 30.06.24,"46,432 183,675 1,749 2,657 16,977 9,724 261,214",,,
