,,Development,Trademarks & Licences,Computer software,Total
Balance at 01.01.24,,,,,
Cost,,"8,899 44,929 15,184 69,012 — (494) — (494) (2,738) (18,960) (12,918) (34,616)",,,
Accumulated impairment,,,,,
Accumulated amortisation,,,,,
Net carrying amt 01.01.24,,"6,161 25,475 2,266 33,902",,,
Additions,,"— — 645 645 — (30) — (30) — 23 — 23 (221) (976) (311) (1,508)",,,
Amortisation charge,,,,,
Balance at 30.06.24,,,,,
Cost Accumulated impairment,,"8,899 44,899 15,829 69,627",,,
,,—,(494),—,(494)
Accumulated amortisation,,"(2,959) (19,913) (13,229) (36,101)",,,
Net carrying amt 30.06.24,,"5,940 24,492 2,600 33,032",,,
