In € millions,Six-month period ended 30 June,,,Growth,% Grothw
,2025,2024,,,
,,,,,
Operating revenues (1),314.6 329.3,,,(14.7),-4 %
Other income (2),0.7 0.2,,,0.5,n.a
Total Revenue (3),315.3 329.5,,,(14.2),(4) %
Cost of sales (4),(119.1) (133.9),,,14.8,-11 %
Gross profit (5),196.2 195.6,,,0.5,— %
% margin (11),62.4 % 59.4 %,,,,"3,0 pp"
R&D Expenses (6),(16.8) (12.2) (113.7) (113.5),,,(4.6) (0.2),38 % 0 %
SG&A (7),,,,,
Share of profit/(loss) on Joint Ventures and associated,(0.10) (0.02),,,0.05,n.a
EBITDA (8),65.6 69.9,,,(4.3),(6) %
% margin (11),20.9 % 21.2 %,,,,"-0,4pp"
EBIT (9),50.9 56.5,,,(5.6),(10) %
% margin (11),16.2 % 17.1 %,,,,"-1,0pp"
Net profit (10),39.7 44.3,,,(4.6),(10) %
