Q1 2024,Q1 2023
,
"19,008","61,167"
,
"6,626","5,816"
(3),(70)
"(2,814)","(3,008)"
(11),129
(57),(344)
316,147
43,(300)
(258),(328)
(14),(9)
,
"19,099","25,522"
"2,700","(12,256)"
(101),277
"(35,306)","(29,806)"
,
"6,147","(22,450)"
253,160
(84),(139)
"15,544","24,508"
,
(135),(16)
"(8,856)","(4,896)"
9,10
80,—
(255),—
3,70
"(9,154)","(4,832)"
,
"(3,470)","(3,594)"
"19,600",562
(99),(90)
"(34,658)","(29,734)"
—,"29,525"
—,172
"(18,627)","(3,159)"
"(12,237)","16,517"
"25,322","124,945"
"13,085","141,462"
