,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,4477000000.0,2927000000.0,1824000000.0,6835000000.0,2529000000.0,,
Repurchase Of Capital Stock,-757000000.0,-874000000.0,-1252000000.0,-1323000000.0,-1345000000.0,,
Repayment Of Debt,-6005000000.0,-1140000000.0,-2000000.0,-1000000.0,0.0,,
Issuance Of Debt,,,7918000000.0,5962000000.0,,,0.0
Capital Expenditure,-893000000.0,-991000000.0,-1033000000.0,-987000000.0,-764000000.0,,
End Cash Position,6891000000.0,5398000000.0,14690000000.0,18260000000.0,8073000000.0,,
Beginning Cash Position,5398000000.0,14690000000.0,18260000000.0,8073000000.0,8732000000.0,,
Effect Of Exchange Rate Changes,-37000000.0,-19000000.0,23000000.0,10000000.0,374000000.0,,
Changes In Cash,1530000000.0,-9273000000.0,-3593000000.0,10177000000.0,-1033000000.0,,
Financing Cash Flow,1762000000.0,-2981000000.0,4751000000.0,2638000000.0,-3556000000.0,,
Cash Flow From Continuing Financing Activities,1762000000.0,-2981000000.0,4751000000.0,2638000000.0,-3556000000.0,,
Net Other Financing Charges,-270000000.0,-80000000.0,121000000.0,-46000000.0,-146000000.0,,
Proceeds From Stock Option Exercised,43000000.0,157000000.0,47000000.0,14000000.0,12000000.0,,
Cash Dividends Paid,-2144000000.0,-2105000000.0,-2018000000.0,-2031000000.0,-2077000000.0,,
Common Stock Dividend Paid,-2144000000.0,-2105000000.0,-2018000000.0,-2031000000.0,-2077000000.0,,
Net Common Stock Issuance,-757000000.0,-874000000.0,-1252000000.0,-1323000000.0,-1345000000.0,,
Common Stock Payments,-757000000.0,-874000000.0,-1252000000.0,-1323000000.0,-1345000000.0,,
Net Issuance Payments Of Debt,4890000000.0,-79000000.0,7853000000.0,6024000000.0,0.0,,
Net Short Term Debt Issuance,-1061000000.0,1061000000.0,,63000000.0,0.0,0.0,
Net Long Term Debt Issuance,5951000000.0,-1140000000.0,7916000000.0,5961000000.0,0.0,,
Long Term Debt Payments,-5000000.0,-1140000000.0,-2000000.0,-1000000.0,0.0,,
Long Term Debt Issuance,,,7918000000.0,5962000000.0,,,0.0
Investing Cash Flow,-5602000000.0,-10210000000.0,-11201000000.0,-283000000.0,-770000000.0,,
Cash Flow From Continuing Investing Activities,-5602000000.0,-10210000000.0,-11201000000.0,-283000000.0,-770000000.0,,
Net Other Investing Changes,-22000000.0,-66000000.0,-172000000.0,129000000.0,5000000.0,,
Net Investment Purchase And Sale,1155000000.0,-374000000.0,46000000.0,575000000.0,-11000000.0,,
Sale Of Investment,1303000000.0,0.0,46000000.0,575000000.0,601000000.0,,
Purchase Of Investment,-148000000.0,-374000000.0,0.0,0.0,-612000000.0,,
Net Business Purchase And Sale,-5842000000.0,-8779000000.0,-10042000000.0,0.0,0.0,,
Purchase Of Business,-5842000000.0,-8779000000.0,-10042000000.0,0.0,0.0,,
Capital Expenditure Reported,-893000000.0,-991000000.0,-1033000000.0,-987000000.0,-764000000.0,,
Operating Cash Flow,5370000000.0,3918000000.0,2857000000.0,7822000000.0,3293000000.0,,
Cash Flow From Continuing Operating Activities,5370000000.0,3918000000.0,2857000000.0,7822000000.0,3293000000.0,,
Change In Working Capital,423000000.0,-1613000000.0,-2319000000.0,1314000000.0,-2259000000.0,,
Other Non Cash Items,5190000000.0,8560000000.0,118000000.0,-51000000.0,335000000.0,,
Stock Based Compensation,298000000.0,185000000.0,205000000.0,204000000.0,216000000.0,,
Deferred Tax,-544000000.0,-315000000.0,-825000000.0,-212000000.0,-448000000.0,,
Deferred Income Tax,-544000000.0,-315000000.0,-825000000.0,-212000000.0,-448000000.0,,
Depreciation Amortization Depletion,1583000000.0,1512000000.0,2466000000.0,1154000000.0,1119000000.0,,
Depreciation And Amortization,1583000000.0,1512000000.0,2466000000.0,1154000000.0,1119000000.0,,
Amortization Cash Flow,984000000.0,931000000.0,973000000.0,622000000.0,601000000.0,,
Amortization Of Intangibles,984000000.0,931000000.0,973000000.0,622000000.0,601000000.0,,
Depreciation,599000000.0,581000000.0,1493000000.0,532000000.0,518000000.0,,
Operating Gains Losses,-243000000.0,-168000000.0,195000000.0,-374000000.0,-99000000.0,,
Gain Loss On Investment Securities,-243000000.0,-168000000.0,195000000.0,-374000000.0,-99000000.0,,
Net Income From Continuing Operations,-1337000000.0,-4243000000.0,2962000000.0,5787000000.0,4429000000.0,,
