,,,,,,,,,,,,
Sanofi | Income Statement (As Reported),,,,,,,,,,,,
ENXTPA: SAN (MI KEY: 4404124; SPCIQ KEY: 687130),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,76.517581553,71.919630736,71.6932334,76.639048991,79.688573391,79.868589384,89.32795107,84.73513021699999,88.447365609,92.00751630399999,88.600890361,105.502759188
Average Exchange Rate,,,,,,,,,,,,
Revenues,,,,,,,,,,,,
Net Sales,2401121.70913314,2449582.6228681603,2423876.5280206,2687884.726212352,2746307.3047740334,2885332.660086384,3219468.6845138697,3199683.252124137,3330131.762544459,3479448.244068368,3639813.1769202407,4602663.372335688
Other Revenues,47364.382981307,57607.624219536,63591.898025799994,88058.267290659,96741.928096674,120202.22702292001,118627.51902096,119815.47412683799,257381.83392219,349720.56947150396,283965.853607005,326003.52589092
Expenses,,,,,,,,,,,,
Cost of Goods Sold,-782774.85928719,-785290.4480063841,-767189.2906133999,-890009.2759324829,-911238.836726085,-956745.832230936,-1086138.55706013,-1038429.0208093349,-1050931.598166138,-1161870.9158869118,-1169974.757217005,-1376705.504644212
Selling & General Expenses,-644660.624584025,-674749.975565152,-679508.4661652,-771908.5014373519,-785649.645061869,-789421.1374714561,-838878.78849837,-809644.1692234349,-772941.528057051,-821903.143143632,-813621.976185063,-1006812.830931084
Research and Development Expenses,-357107.553107851,-365495.563400352,-370797.4031448,-419368.876078752,-469684.451566554,-480808.90809168003,-493983.5694171,-482312.361195164,-574996.323824109,-598692.908590128,-655114.983329234,-827352.637552296
Other Operating Expenses,-12013.260303821,-33226.869400032,-34556.1384988,-17856.898414903,-43669.338218268,-96401.387386488,-126399.05076405,-152946.91004168498,-223152.70343150702,-316781.878634672,-388249.101561902,-596618.10320814
Other Operating Income,23031.792047453,18267.586206944,25451.097857,18163.454610867,38569.269521244,62537.105487672,62261.58189579,72787.476856403,160443.521214726,90075.358461616,96486.369603129,129873.896560428
