,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,307000000.0,-208000000.0,1016000000.0,233000000.0,131000000.0,,
Repayment Of Debt,0.0,-23000000.0,0.0,-451000000.0,-2300000000.0,,
Issuance Of Debt,0.0,,0.0,,2305000000.0,,0.0
Capital Expenditure,-104000000.0,-168000000.0,-142000000.0,-136000000.0,-96000000.0,,
End Cash Position,3655000000.0,3741000000.0,3556000000.0,2203000000.0,2161000000.0,,
Beginning Cash Position,3741000000.0,3556000000.0,2203000000.0,2161000000.0,1697000000.0,,
Effect Of Exchange Rate Changes,-5000000.0,-17000000.0,-10000000.0,-9000000.0,-5000000.0,,
Changes In Cash,-81000000.0,202000000.0,1363000000.0,51000000.0,469000000.0,,
Financing Cash Flow,-1000000.0,13000000.0,40000000.0,-453000000.0,6000000.0,,
Cash Flow From Continuing Financing Activities,-1000000.0,13000000.0,40000000.0,-453000000.0,6000000.0,,
Net Other Financing Charges,-1000000.0,36000000.0,40000000.0,-2000000.0,1000000.0,,
Net Issuance Payments Of Debt,0.0,-23000000.0,0.0,-451000000.0,5000000.0,,
Net Short Term Debt Issuance,,,,,,,0.0
Short Term Debt Payments,,,,,,,0.0
Short Term Debt Issuance,,,,,,,0.0
Net Long Term Debt Issuance,0.0,-23000000.0,0.0,-451000000.0,5000000.0,,
Long Term Debt Payments,0.0,-23000000.0,0.0,-451000000.0,-2300000000.0,,
Long Term Debt Issuance,0.0,,0.0,,2305000000.0,,0.0
Investing Cash Flow,-491000000.0,229000000.0,165000000.0,135000000.0,236000000.0,,
Cash Flow From Continuing Investing Activities,-490000000.0,229000000.0,165000000.0,135000000.0,236000000.0,,
Net Other Investing Changes,-5000000.0,1000000.0,0.0,2000000.0,3000000.0,,
Interest Received Cfi,311000000.0,354000000.0,282000000.0,274000000.0,336000000.0,,
Net Investment Purchase And Sale,-1000000.0,0.0,25000000.0,-13000000.0,-16000000.0,,
Sale Of Investment,,,42000000.0,0.0,,,0.0
Purchase Of Investment,-1000000.0,0.0,-17000000.0,-13000000.0,-16000000.0,,
Net Business Purchase And Sale,-692000000.0,42000000.0,0.0,8000000.0,9000000.0,,
Sale Of Business,4000000.0,42000000.0,0.0,8000000.0,9000000.0,,
Purchase Of Business,-696000000.0,,0.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-104000000.0,-168000000.0,-142000000.0,-136000000.0,-96000000.0,,
Purchase Of PPE,-104000000.0,-168000000.0,-142000000.0,-136000000.0,-96000000.0,,
Operating Cash Flow,411000000.0,-40000000.0,1158000000.0,369000000.0,227000000.0,,
Cash Flow From Continuing Operating Activities,411000000.0,-40000000.0,1158000000.0,369000000.0,227000000.0,,
Change In Working Capital,-164000000.0,-617000000.0,229000000.0,-561000000.0,-336000000.0,,
Other Non Cash Items,743000000.0,-54000000.0,-41000000.0,27000000.0,105000000.0,,
Stock Based Compensation,40000000.0,43000000.0,51000000.0,34000000.0,38000000.0,,
Asset Impairment Charge,113000000.0,10000000.0,773000000.0,79000000.0,99000000.0,,
Deferred Tax,25000000.0,-22000000.0,-595000000.0,107000000.0,-211000000.0,,
Deferred Income Tax,25000000.0,-22000000.0,-595000000.0,107000000.0,-211000000.0,,
Depreciation Amortization Depletion,241000000.0,239000000.0,260000000.0,249000000.0,251000000.0,,
Depreciation And Amortization,241000000.0,239000000.0,260000000.0,249000000.0,251000000.0,,
Amortization Cash Flow,,137000000.0,145000000.0,144000000.0,,145000000.0,
Amortization Of Intangibles,,137000000.0,145000000.0,144000000.0,,145000000.0,
Depreciation,,102000000.0,115000000.0,105000000.0,,99000000.0,
Operating Gains Losses,-12000000.0,-8000000.0,,,-2000000.0,2000000.0,0.0
Gain Loss On Sale Of Business,-12000000.0,-8000000.0,0.0,0.0,-2000000.0,,
Net Income From Continuing Operations,-575000000.0,369000000.0,481000000.0,434000000.0,283000000.0,,
