fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,__period__,company,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2025-12-31,USD,40747368000.0,13945784000.0,3555945000.0,3555945000.0,3178951000.0,3708942000.0,26801584000.0,,,3780941000.0,3780941000.0,15999752000.0,,,,3501946000.0,,32833491000.0,13455791000.0,2530961000.0,,,1819972000.0,19377700000.0,288000000.0,14986000000.0,1820000000.0,,17381731000.0,9104858000.0,3808000000.0,7909877000.0,,-13762000000.0,58000000.0,1173000000.0,2025-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,USD,39326000000.0,12552000000.0,3300000000.0,3300000000.0,3007000000.0,3059000000.0,26774000000.0,,,4418000000.0,4418000000.0,15147000000.0,,,,3186000000.0,,33606000000.0,12796000000.0,2203000000.0,,,1781000000.0,20810000000.0,296000000.0,16002000000.0,1781000000.0,,18079000000.0,8812000000.0,4029000000.0,5373000000.0,,-15173000000.0,58000000.0,1131000000.0,2024-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,USD,43479000000.0,12485000000.0,3226000000.0,3226000000.0,4021000000.0,3408000000.0,30993000000.0,,,5387000000.0,5387000000.0,17177000000.0,,,,1830000000.0,,35353000000.0,12247000000.0,2602000000.0,,,1672000000.0,23106000000.0,320000000.0,18161000000.0,1672000000.0,,20153000000.0,7973000000.0,4019000000.0,7506000000.0,,-13534000000.0,57000000.0,1119000000.0,2023-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,USD,44011000000.0,12051000000.0,2801000000.0,2801000000.0,3833000000.0,3696000000.0,31960000000.0,6158000000.0,,6270000000.0,6270000000.0,17633000000.0,,,,1721000000.0,,35413000000.0,11469000000.0,1887000000.0,,,2109000000.0,23944000000.0,349000000.0,19103000000.0,2109000000.0,,21561000000.0,7473000000.0,-1000000.0,7804000000.0,,-12975000000.0,57000000.0,1110000000.0,2022-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,USD,47666000000.0,12573000000.0,2165000000.0,2165000000.0,3818000000.0,4529000000.0,35094000000.0,5982000000.0,,7466000000.0,7466000000.0,20040000000.0,,,,2061000000.0,,36422000000.0,11027000000.0,1686000000.0,,,1426000000.0,25395000000.0,416000000.0,21617000000.0,1426000000.0,,23459000000.0,7915000000.0,25395000000.0,10278000000.0,-4128000000.0,-10529000000.0,57000000.0,1107000000.0,2021-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,USD,50640000000.0,13005000000.0,2177000000.0,2177000000.0,4403000000.0,4581000000.0,37634000000.0,6296000000.0,,8923000000.0,8923000000.0,20624000000.0,,,,1844000000.0,,39579000000.0,13164000000.0,1756000000.0,,,3188000000.0,26415000000.0,479000000.0,22731000000.0,3188000000.0,,26398000000.0,931000000.0,2719000000.0,10026000000.0,-4128000000.0,-10946000000.0,57000000.0,1095000000.0,2020-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,USD,57470000000.0,13464000000.0,1975000000.0,1975000000.0,4422000000.0,5676000000.0,44005000000.0,6436000000.0,,11232000000.0,11232000000.0,24846000000.0,,,957000000.0,1391000000.0,,42407000000.0,13674000000.0,1718000000.0,,,2345000000.0,28733000000.0,435000000.0,24562000000.0,2345000000.0,,27342000000.0,9611000000.0,28733000000.0,13972000000.0,-4128000000.0,-6956000000.0,56000000.0,1091000000.0,2019-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,USD,60683000000.0,13794000000.0,1782000000.0,1782000000.0,4731000000.0,5822000000.0,46889000000.0,6868000000.0,,14005000000.0,14005000000.0,24917000000.0,,61000000.0,991000000.0,1459000000.0,,44889000000.0,14322000000.0,1853000000.0,,,2216000000.0,30567000000.0,,26700000000.0,2216000000.0,,28916000000.0,10253000000.0,1727000000.0,14707000000.0,-4142000000.0,-5958000000.0,56000000.0,1021000000.0,2018-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,USD,70615000000.0,15382000000.0,963000000.0,963000000.0,4924000000.0,7128000000.0,55233000000.0,7673000000.0,,17640000000.0,17640000000.0,28414000000.0,,83000000.0,17000000.0,2367000000.0,,51870000000.0,17921000000.0,2069000000.0,,,3646000000.0,33949000000.0,,28829000000.0,3646000000.0,,32475000000.0,12206000000.0,1843000000.0,17359000000.0,-4149000000.0,-3803000000.0,54000000.0,1016000000.0,2017-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,USD,92890000000.0,16961000000.0,988000000.0,988000000.0,4954000000.0,7523000000.0,75929000000.0,7439000000.0,,21487000000.0,21487000000.0,44409000000.0,,283000000.0,10000000.0,3763000000.0,,57897000000.0,18519000000.0,2157000000.0,,,3276000000.0,39378000000.0,,32524000000.0,3276000000.0,,35800000000.0,13055000000.0,1639000000.0,33337000000.0,-4194000000.0,13607000000.0,54000000.0,961000000.0,2016-12-31,Teva Pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
