date,Open,High,Low,Close,adjusted_close,Volume,Company,Country,Ticker,__period__,company
2014-01-31,40.02000045776367,45.97999954223633,39.63999938964844,44.63000106811523,39.96640777587891,148809000,Teva Pharmaceutical,Israel,TEVA,2014-01-31,Teva Pharmaceutical
2014-02-28,44.47000122070312,50.70000076293945,43.22000122070312,49.88999938964844,45.00898742675781,144723100,Teva Pharmaceutical,Israel,TEVA,2014-02-28,Teva Pharmaceutical
2014-03-31,49.09000015258789,52.93999862670898,47.79999923706055,52.84000015258789,47.67037582397461,136465700,Teva Pharmaceutical,Israel,TEVA,2014-03-31,Teva Pharmaceutical
2014-04-30,52.54999923706055,54.70000076293945,48.34999847412109,48.86000061035156,44.07975769042969,149361700,Teva Pharmaceutical,Israel,TEVA,2014-04-30,Teva Pharmaceutical
2014-05-31,49.45999908447266,52.27000045776367,48.81000137329102,50.4900016784668,45.86816787719727,97268300,Teva Pharmaceutical,Israel,TEVA,2014-05-31,Teva Pharmaceutical
2014-06-30,50.70000076293945,53.4900016784668,50.38000106811523,52.41999816894531,47.62149810791016,93341000,Teva Pharmaceutical,Israel,TEVA,2014-06-30,Teva Pharmaceutical
2014-07-31,52.63000106811523,55.70000076293945,52.56999969482422,53.5,48.60262680053711,83791900,Teva Pharmaceutical,Israel,TEVA,2014-07-31,Teva Pharmaceutical
2014-08-31,53.61999893188477,54.75,50.63999938964844,52.52000045776367,48.03600311279297,69914900,Teva Pharmaceutical,Israel,TEVA,2014-08-31,Teva Pharmaceutical
2014-09-30,52.34000015258789,54.25,50.38999938964844,53.75,49.16099166870117,80874300,Teva Pharmaceutical,Israel,TEVA,2014-09-30,Teva Pharmaceutical
2014-10-31,53.79000091552734,57.09999847412109,47.36000061035156,56.47000122070312,51.64877319335938,98575100,Teva Pharmaceutical,Israel,TEVA,2014-10-31,Teva Pharmaceutical
2014-11-30,55.68999862670898,58.86999893188477,55.66999816894531,56.97999954223633,52.40306091308594,84659600,Teva Pharmaceutical,Israel,TEVA,2014-11-30,Teva Pharmaceutical
2014-12-31,56.84999847412109,58.95000076293945,54.47999954223633,57.5099983215332,52.89049911499023,74849000,Teva Pharmaceutical,Israel,TEVA,2014-12-31,Teva Pharmaceutical
2015-01-31,57.22999954223633,61.90000152587891,54.52999877929688,56.86000061035156,52.29270935058594,92921000,Teva Pharmaceutical,Israel,TEVA,2015-01-31,Teva Pharmaceutical
2015-02-28,56.83000183105469,58.20000076293945,55.22000122070312,57.02000045776367,52.75580978393555,88924300,Teva Pharmaceutical,Israel,TEVA,2015-02-28,Teva Pharmaceutical
2015-03-31,56.97000122070312,64.08000183105469,55.79000091552734,62.29999923706055,57.64094924926758,106893400,Teva Pharmaceutical,Israel,TEVA,2015-03-31,Teva Pharmaceutical
2015-04-30,62.70000076293945,68.75,60.09000015258789,60.41999816894531,55.90154647827148,166203200,Teva Pharmaceutical,Israel,TEVA,2015-04-30,Teva Pharmaceutical
2015-05-31,61.04999923706055,62.45000076293945,59.75,60.09999847412109,55.91601943969727,76241300,Teva Pharmaceutical,Israel,TEVA,2015-05-31,Teva Pharmaceutical
2015-06-30,60.36999893188477,62.29999923706055,58.47000122070312,59.09999847412109,54.98563385009766,76270400,Teva Pharmaceutical,Israel,TEVA,2015-06-30,Teva Pharmaceutical
