,,,,,,,,,,,,
Viatris Inc. | Income Statement (As Reported),,,,,,,,,,,,
NASDAQGS: VTRS (MI KEY: 4761964; SPCIQ KEY: 290203),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,63.215,66.22,67.915,63.824999999999996,69.6,71.1709,73.0256,74.5076,82.7602,83.2392,85.5796,89.8567
Average Exchange Rate,,,,,,,,,,,,
Revenues,,,,,,,,,,,,
Net Sales,483373.4975,619991.372,744830.5965000001,750582,784301.52,809234.48427,863155.28944,1327248.5833599998,1342213.19962,1280918.10528,1257403.94688,1280493.91768
Other Revenues,4621.0165,4416.874,7457.067000000001,9426.9525,11497.919999999998,9266.45118,9208.52816,5416.70252,3691.10492,3204.7092,3979.4514,4447.90665
Total Revenues,487994.514,624408.2459999999,752287.6635,760008.9525,795799.44,818500.93545,872363.8176,1332665.2858799999,1345904.30454,1284122.81448,1261383.3982799998,1284941.82433
Expenses,,,,,,,,,,,,
Cost of Sales,-264971.99400000006,-345218.104,-433290.9085,-454727.595,-517288.07999999996,-541105.23561,-595107.52208,-917248.1620799999,-808211.28514,-748178.9013599999,-780117.95972,-834445.25888
"Selling, General and Administrative",-102768.62550000001,-144405.954,-169685.6275,-164394.0525,-169893.59999999998,-182453.71924,-244241.42176,-337459.82191999996,-345863.15182,-338783.544,-351270.02616,-340925.30547
Research and Development,-36778.487,-44493.218,-56152.122,-49994.12249999999,-49033.2,-45542.25891,-37432.92256,-50739.675599999995,-54803.80444,-67024.20384,-69208.22252000001,-86792.58653
Acquired in Process Research & Development,,,,,,,-3103.5879999999997,-5222.982759999999,-3012.4712799999998,,,
Acquired Ipr&d,,,,,,,,,,-8781.7356,-2421.90268,-4340.07861
Impairment of Goodwill,,,,,,,,,,-48287.05992,-27471.0516,-263891.15656000003
Interest Expense,-21063.238,-22475.068,-30887.742000000002,-34120.845,-37744.079999999994,-36816.706569999995,-36352.14368,-47401.73512,-49027.142479999995,-47704.38552,-47068.78,-42349.46271
Other Income/expense-net,-2838.3535,-13647.942,-8333.1705,25.53,-4517.04,-3117.28542,-920.1225599999999,432.14408,148198.69014,815.7441600000001,-7128.78068,-47677.96502
"Litigation Settlements and Other Contingencies, Net",,,,,,,,,,-9289.494719999999,-30029.881639999996,6155.183950000001
"Litigation Settlement, Net",2029.2015000000001,6449.828,-45672.8375,836.1075,3445.2,1523.05726,-7872.15968,-24527.901919999997,-364.14488,,,
Earnings before Taxes,61603.0175,60617.788,8265.255500000001,57633.975,20768.639999999996,10988.786960000001,-52666.06272,-49502.84944,232820.99464,16889.23368,-53333.20672,-329324.8055
Taxes and Other Expenses,,,,,,,,,,,,
Provision for Income Tax,-2617.101,-4483.094,24333.9445,-13211.775,3765.3599999999997,-9793.11584,3746.2132799999995,-45054.74572,-60795.64292,-12336.049439999999,-941.3756,13487.49067
Minority Interest (After Tax),-233.89550000000003,-6.622,,,,,,,,,,
Net Income (Loss),58752.021,56128.072,32599.200000000004,44422.2,24533.999999999996,1195.6711200000002,-48919.84944,-94557.59515999998,172025.35171999998,4553.1842400000005,-54274.58232,-315837.31483000005
Supplementary Info,,,,,,,,,,,,
Gross Profit/loss,223022.52000000002,279190.142,318996.755,305281.3575,278511.36,277395.69984,277256.29552,415417.1238,537693.0194,535943.91312,481265.43856000004,450496.56545
Operating Income (Loss),85504.609,96740.79800000001,47486.168000000005,91729.29,63029.759999999995,50922.77895,-15393.79648,-2533.2583999999997,133649.44698,63777.87504,864.3539599999999,-239297.37777
Basic EPS - Continuing Operations,157.40535000000003,119.196,63.8401,82.9725,48.023999999999994,2.135127,-81.05841600000001,-78.23298,141.519942,4.16196,-45.357188,-269.5701
Diluted EPS - Continuing Operations,147.9231,112.574,62.48180000000001,82.9725,47.328,2.135127,-81.05841600000001,-78.23298,141.519942,4.16196,-45.357188,-269.5701
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,
