,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viatris Inc. | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQGS: VTRS (MI KEY: 4761964; SPCIQ KEY: 290203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4
Period Ended,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,59.92,60.095000000000006,61.91,63.215,62.51500000000001,63.644999999999996,65.575,66.22,66.275,67.54499999999999,66.61500000000001,67.915,64.795,64.625,65.31500000000001,63.824999999999996,65.075,68.48,72.54499999999999,69.6,69.285,68.925,70.6534,71.1709,75.2998,75.5387,73.5287,73.0256,73.1601,74.3315,74.1725,74.5076,75.8898,79.0189,81.3744,82.7602,82.1208,82.06620000000001,83.0828,83.2392,83.31859999999999,83.3598,83.7825,85.5796,85.4467,85.76499999999999,88.8324,89.8567
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Sales,102043.76000000001,109156.55800000002,128116.554,130077.5055,115940.319,150011.26499999998,175491.815,163881.25600000002,144221.0275,171557.54549999998,201810.14250000002,218794.964,174130.083,189125.0625,193090.73450000005,203588.985,172474.78000000003,188696.64,205106.47849999997,211270.8,170482.67099999997,194244.43499999997,206887.28588,225134.90797000003,194890.94236,203644.78133000003,216769.96047,261993.94512,321911.75601,339078.00355,335296.78625,322714.76788,317082.76235999994,324404.19206,330982.23456,320041.96942,305415.46728,320837.80890000006,326839.42692000006,318464.85528,304404.50509999995,315591.86682000005,313178.985,300846.52584,277120.73744,306095.285,332899.41900000005,331634.12269
Other Revenues,754.992,1255.9855,903.886,1580.375,1069.0065000000002,935.5814999999999,1245.925,1052.898,1007.38,1404.9359999999997,1838.5740000000003,3137.6730000000007,2079.9195,2307.1125,2011.7020000000005,3133.8075,2219.0575000000003,3615.744,2546.3295,3006.72,2418.0465,2295.2025,2366.8889000000004,2028.37065,2334.2938000000004,2666.51611,1764.6888,2614.3164799999995,2209.43502,1196.7371500000002,1194.1772500000002,767.42828,1024.5122999999999,900.81546,878.84352,736.56578,821.2080000000001,746.8024200000001,664.6624,948.92688,824.8541399999999,891.9498600000001,1105.9289999999999,1086.8609199999999,948.4583700000001,1123.5214999999998,1101.52176,1159.1514300000001
Total Revenues,102798.752,110412.54350000001,129020.43999999999,131657.8805,117009.32550000002,150946.84649999999,176737.74,164934.15399999998,145228.40750000003,172962.48149999997,203648.7165,221932.63700000005,176210.0025,191432.175,195102.43650000004,206722.79249999998,174693.8375,192312.38400000002,207652.80799999996,214277.51999999996,172900.7175,196539.63749999998,209254.17478,227163.27862000003,197225.23616,206311.29744,218534.64927,264608.26159999997,324121.19103,340274.7407,336490.9635,323482.19616,318107.27465999994,325305.00752000004,331861.07807999995,320778.5352,306236.67528,321584.61132,327504.08932,319413.78216,305229.35923999996,316483.81668000005,314284.914,301933.38675999996,278069.19581000006,307218.80649999995,334000.94076,332793.27412
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Sales,-58589.776,-61807.707500000004,-66342.756,-70402.54550000001,-65115.624,-86786.32199999999,-90486.9425,-94568.78199999999,-85116.9825,-93820.00499999998,-118161.68700000002,-131266.11200000002,-105907.4275,-112240.7,-118154.83500000002,-124094.9475,-110640.51500000001,-126400.384,-132264.044,-143591.75999999998,-117112.43549999999,-132260.1825,-133485.46862,-149772.04196,-128996.08738,-128831.25285,-133351.65032,-213022.97775999998,-241647.8103,-241584.80815,-219736.03125,-208263.64351999998,-183691.2609,-190712.11515,-189586.07712,-215333.76438,-179589.97752000001,-189572.92200000002,-186986.14968,-186522.39936,-179918.18483999997,-195995.56176,-192029.49,-197954.17276,-178848.48777,-192902.63799999995,-212167.30416000003,-229646.76819
"Selling, General and Administrative",-22631.784,-24284.389500000005,-25896.952999999998,-26904.304000000004,-30207.248000000003,-35908.509,-35220.332500000004,-39480.364,-36404.8575,-39270.66299999999,-43759.393500000006,-48117.777500000004,-40872.686,-40099.8125,-43375.69150000001,-42060.674999999996,-39533.0625,-42683.584,-41880.22849999999,-44049.84,-42118.3515,-46083.255,-44702.406180000005,-46574.23696,-45586.49892,-54342.54078,-48411.29608,-99417.05184,-86804.45865,-89554.59120000001,-78251.9875,-80684.28004,-69461.93393999999,-77525.44279,-82782.17712,-104724.75708000001,-78745.63512,-84684.11178000002,-87527.7298,-133665.50736,-84776.67549999998,-86444.11260000001,-84067.3605,-89576.16732000001,-81012.01627000001,-79649.9555,-78758.80584,-92615.30069
Research and Development,-7070.56,-9338.763,-9794.161999999998,-9494.893,-10621.2985,-10705.088999999998,-11462.510000000002,-10528.98,-16807.34,-12124.327499999998,-13263.046500000002,-13216.259,-14092.9125,-11703.5875,-11906.924500000003,-12918.18,-13333.8675,-14154.816,-10453.734499999999,-10356.48,-11958.590999999999,-10173.33,-11862.705860000002,-10803.74262,-8599.23716,-11806.698810000002,-9544.02526,-11304.36288,-13468.77441,-10978.76255,-11281.63725,-14536.43276,-10799.11854,-12848.47314,-14232.38256,-15095.46048,-15019.894320000001,-17094.389460000002,-17547.08736,-16880.90976,-16638.72442,-17013.73518,-16622.448,-17672.1874,-18969.167400000002,-18765.381999999998,-22243.632960000003,-24683.63549
"Other Operating Income/expense, Net",,,4952.799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired in Process Research & Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5371.99796,,,,-3012.4712799999998,,-837.07524,-83.0828,-7849.45656,-508.2434599999999,650.20644,,-2567.388,-854.4670000000001,,,-3441.51161
Impairment of Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26758.4958,,,-250939.86856000003,,,
Interest Expense,-4955.384,-5084.037,-5194.249,-5183.63,-4969.942500000001,-5976.2655,-6236.1825,-4694.9980000000005,-4659.132500000001,-6099.313499999998,-9619.206000000002,-10173.667000000001,-8954.669,-8808.3875,-8608.517000000002,-8188.7475,-8570.3775,-9532.416,-9880.628999999997,-9409.919999999998,-9090.192,-9042.96,-9107.22326,-8967.5334,-9028.446020000001,-8777.596940000001,-8624.91651,-10544.89664,-12364.0569,-12420.79365,-11266.80275,-11042.026319999999,-11095.088759999999,-11528.857510000002,-12466.558079999999,-12174.02542,-12071.7576,-11792.91294,-11756.2162,-11728.40328,-11531.29424,-12153.858840000003,-12198.732,-10286.66792,-9869.093850000001,-10000.198999999999,-10624.35504,-10746.86132
Other Income/expense-net,-275.632,-222.35150000000004,92.865,-2408.4915,-1156.5275000000001,-127.28999999999999,-3337.7675,-8919.833999999999,-1080.2825,-7936.5374999999985,-3344.073000000001,4000.1935000000003,-1159.8305,-827.2,-333.10650000000004,2227.4925,-878.5125,-1438.0800000000002,-710.9409999999999,-1433.76,-505.78049999999996,-1130.37,-635.8806000000001,-789.99699,-2567.7231800000004,151.0774,551.46525,876.3072,-446.27660999999995,-312.19230000000005,-430.2005,1631.71644,-2557.48626,-1066.75515,1676.31264,150400.11146,5740.243920000001,8822.1165,7643.6176000000005,-21608.89632,11589.617259999997,-508.49478,854.5814999999999,-19383.7794,-8484.857310000001,-28602.627499999995,-5960.65404,-2758.60069
"Litigation Settlements and Other Contingencies, Net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2639.14875,,,,-4947.964680000001,
"Litigation Settlement, Net",-185.752,-1394.2040000000002,-1293.9189999999999,-44.2505,-1106.5155000000002,57.280499999999996,-150.8225,7714.63,99.41250000000001,6.754499999999999,-37171.170000000006,-7884.931500000001,-583.155,3231.25,-992.7880000000001,-810.5774999999999,-1054.215,3177.472,1479.9179999999997,-76.56,-48.4995,-1440.5324999999998,3666.9114600000003,-633.42101,-135.53964000000002,-1193.5114600000002,-1389.6924299999998,-5206.72528,-1675.36629,-1709.6245000000001,-697.2215,-20407.631639999996,-470.51676,-861.30601,317.36015999999995,728.28976,-49.27248,902.7282000000001,2168.4610800000005,-12327.725519999998,-6398.868479999999,-10920.133800000001,,-9550.683359999999,6280.332450000001,4082.4139999999993,,278.55577
Earnings before Taxes,9089.864,8281.091000000002,25544.066,17219.766,3832.1695000000004,11500.651499999998,29843.182500000003,14455.826000000001,1259.2250000000001,13718.389499999997,-21669.859500000002,15274.083500000002,4639.322,20983.7375,11730.574000000002,20877.1575,683.2875,1280.576,13943.148999999998,5359.2,-7933.1325,-3590.9925,13127.401720000002,9622.30568,2311.70386,1510.7740000000001,17764.533919999998,-74011.44559999999,-32285.55213,-16286.03165,14827.08275,-15192.09964,40031.86949999999,30762.057770000003,34787.556,121566.45778,26500.38216,27328.044600000005,33415.902160000005,-71169.516,17046.985559999997,-32660.369640000004,7582.31625,-45057.6594,-264628.42990000005,-18619.581499999997,-701.77596,-30820.848100000003
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-2103.192,-673.0640000000001,5373.788,-5177.308500000001,-293.82050000000004,-814.656,-1737.7375000000002,-1569.414,-338.0025,-2343.8115,13689.382500000002,13080.429,-336.934,-1790.1125,-5963.259500000001,-5284.709999999999,4984.745,1287.4240000000002,-1124.4474999999998,-1795.6799999999998,6201.0075,-8022.87,282.6136,-8163.30223,-745.46802,1465.45078,-4110.25433,7134.60112,-43625.36762999999,-4467.32315,8277.651,-4463.0052399999995,-9736.66134,-5958.025060000001,-5956.60608,-37879.343539999994,-8047.838400000001,-5662.567800000001,-5865.64568,7441.58448,-7556.997019999999,5451.730920000001,360.26475,855.796,4699.5685,18225.062499999996,-10686.53772,260.58443
Minority Interest (After Tax),-41.943999999999996,-84.13300000000001,-18.572999999999997,-82.1795,,-6.3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income (Loss),6944.728000000001,7523.894000000001,30899.281,11960.278,3538.3490000000006,10679.631,28105.445000000003,12886.412,921.2225000000001,11374.577999999998,-7980.477000000001,28354.512500000004,4302.388000000001,19193.625,5767.314500000001,15592.4475,5668.0325,2568,12818.701499999997,3563.52,-1732.125,-11613.8625,13410.015320000002,1459.0034500000002,1566.23584,2976.22478,13654.27959,-66876.84448,-75910.91975999999,-20753.3548,23104.73375,-19655.10488,30295.20816,24804.03271,28830.94992,83687.11424,18452.54376,21665.476800000004,27550.256480000004,-63727.93152,9489.988539999998,-27208.63872,7942.580999999999,-44201.8634,-259928.86140000002,-394.5189999999999,-11388.31368,-30560.263670000004
