,,,,,,,,,,,,
"Zhejiang Hisun Pharmaceutical Co., Ltd. - 浙江海正药业股份有限公司 | Income Statement (As Reported)",,,,,,,,,,,,
SHSE: 600267 (MI KEY: 4812234; SPCIQ KEY: 5842289),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute
Spot Exchange Rate,10.192679781,10.199460916,9.781231097,9.80911983,10.119662096,10.221445088,11.18549153,11.728678021999999,11.999101084000001,11.738876588,11.724678385,12.846948988000001
Average Exchange Rate,,,,,,,,,,,,
Revenues,,,,,,,,,,,,
Revenue from Main Operations,101613302084.12193,87840396220.15782,93624400636.4049,101468131210.12279,100491469358.26266,110463679839.37187,123157987678.27861,,,,,
Main Operations,,,,,,,,139599326547.67224,,119238166556.86584,118712725762.13115,133876464447.03513
Main Business,,,,,,,,,140492043561.70322,,,
Other Operating Income,1299615705.0847814,1582644428.6307068,1580463591.794545,2229241203.4009,2601990832.104647,2705954825.307482,3846509735.105619,,,,,
Other Operations,,,,,,,,2745372735.8596635,,2530044983.861685,2523344833.637974,1654234767.7177384
Other Business,,,,,,,,,3937417444.915366,,,
Total Revenues,102912917789.2067,89423040648.78853,95204864228.19945,103697372413.52368,103093460190.36731,113169634664.67937,127004497413.38423,142344699283.5319,144429461006.61856,121768211540.72754,121236070595.76912,135530699214.75287
Expenses,,,,,,,,,,,,
Operating Costs,-68456769025.6669,-64533152709.55049,-68860565900.8048,-71010452077.47438,-60024771363.27836,-64543361768.73191,-72046082834.70638,-84287753566.52084,-83977797461.51157,-72649803544.79637,-69764055263.74023,-74767509084.09901
Tax and Surcharges,-407128779.2901774,-389717642.07906634,-610891052.5842686,-898833920.9242777,-998485202.9709116,-936922900.3623705,-830280979.1973584,-1264595662.1438386,-1287468514.9375854,-997126276.5464269,-1264242956.7056522,-1506506377.4266331
Selling Expenses,-13436706934.445372,-11940536040.94039,-12607765282.636475,-15683114507.213003,-25436871505.46086,-29531080829.34767,-28213258575.243607,-29297126356.04552,-28870856141.410328,-27801856359.69571,-24959360918.91567,-26701870412.33454
General and Administrative Expenses,-11973587520.967302,-10757800167.23855,-10013087866.434456,-6070641375.355936,-7379263547.52622,-9586967333.768568,-10183878220.397125,-11683863673.12753,-12625068897.28691,-10666797868.754784,-10516515808.880934,-11209265807.978476
Research and Development Expenses,,,,-4310755135.748957,-6471826378.186748,-9238312343.353039,-4487047190.564005,-4372405435.430411,-5143936778.90339,-4601090063.8190365,-4193784789.826677,-6147773577.109969
Other Income,,,,543410294.387939,1403054446.7091408,1042861207.8783693,1667519337.3701692,1369765864.9403603,,1231960964.30959,1336526936.9694746,1259857338.7464678
Other Gains,,,,,,,,,1208474052.9497087,,,
Loss on Asset Impairments,-557202169.7282284,-147389305.3891916,-1116551056.5177076,,,,,,,,,
(Loss) on Impairment of Assets,,,,-1098702873.6349707,-1662041274.619066,-14913317134.631203,-842686853.8256516,-1283485587.9530714,,,,
"Loss on Impairment of Credit Loss By """" Fill and List)",,,,,,-1006817530.8001,456457494.8446779,-148934965.7607808,,-275598993.2138861,,
Loss on Credit Impairment (Loss Is Indicated with -),,,,,,,,,114299539.97812496,,-1017117023.4218097,-649587802.4126511
Loss on Impairment of Assets (Loss Is Indicated with -),,,,,,,,,-1512331014.5807903,,,
"Asset Impairment Loss (loss Is Indicated with ""-"")",,,,,,,,,,-3351703587.226614,-2567942350.1791954,-2738606801.9422393
"Investment Income (loss Indicated with ""-"" Sign)",430198563.21569145,907561057.0172697,699477962.9452698,347575845.8075456,534444770.92231077,25776296758.905933,385192736.05915153,1169671976.7040365,,775419269.2043582,1846145595.0965488,-471454288.59236646
Investment Gain (loss Is Indicated with “-“),,,,,,,,,300766482.75516737,,,
Gain/loss from Sale of Investments,2298449.2906155,,,,,,,,,,,
Gain on Changes in Fair Value (loss Is Indicated By “-“),,-2299978.436558,,-3040827.1473,2101853.8173392,-7737625.958888831,8181068.505042,-208407545.37539572,,3266838.730313141,,
Gain from Changes in Fair Value (loss Is Indicated with “-“),,,,,,,,,,,-175005887.1214591,-446851398.74568784
Gain on Changes in Fair Value (loss Is Indicated with “-“),,,,,,,,,-1287714289.2853317,,,
Non-operating Expenses,-186735715.95239133,-229113599.86176825,-116931414.80269995,-66744216.71833581,-148597708.1939642,-195446925.0488252,-216775003.3651506,-897822787.7855177,-90327992.73326397,-2042928441.581662,-125687127.03529552,-770784179.5600806
Financial Expenses,-1967793938.0958111,-1945738103.5333529,-2578483373.2920337,-3040521321.9951324,-4114830532.183752,-5244940631.068356,-4614051579.55463,-3885161296.1667657,-3152743162.847774,-2250028764.902671,-1511781575.9227707,-1079608435.257443
Non-operating Income,1778631969.1853468,1750569575.149143,1831314240.2637086,1031261117.2613032,53835001.3189798,54760514.139041394,1640448687.4949124,242443266.7080395,101658302.07998326,20206106.08444765,87441699.23419836,107111309.23183809
Gain/loss on Disposal of Assets,,,2725920.730693345,-30959034.227488432,12903897.27685348,,,,-5957246.871191283,,,
"Gain on Disposal of Assets (loss Indicated with ""-"" Sign)",,,,,,344580395.93049693,385039419.32312274,-241512346.05157837,,-134893153.7876248,8472970.151318163,67245632.72958264
Earnings before Taxes,8138122686.752166,2135423733.925563,1834106405.0666926,3405854380.540683,-1136887352.0079422,5183228518.462262,10113274920.12742,7555511169.523092,8200457884.013421,-972762335.2685423,8419164095.470979,10475095330.001663
Taxes and Other Expenses,,,,,,,,,,,,
Provision for Income Tax,-2512064190.4035406,-847224963.4431732,-1229109367.6024,-1134393548.100901,-1261185051.98835,-1878985483.3824654,-2024293279.1003857,-1566485823.1307724,-2306086117.596151,-166084325.08691788,-1486222587.5704877,-3441574439.2241054
Minority Interest (After Tax),-2487765964.5293145,-1149825702.9694653,-1528619637.8764467,-2138388089.0985367,-2585597768.336787,-2352905771.0827675,-3422460219.7881618,-278468559.11416274,-28490588.459629633,45120190.63535025,115733792.1907738,-87075608.02955325
Net Income (Loss),3138292531.8193107,138373067.51292467,-923622600.4121547,133072743.34124546,-4983670172.333079,951337263.9970287,4666521421.2388735,5710556787.278157,5865881177.957641,-1093726469.72011,7048675300.091265,6946445282.748006
Supplementary Info,,,,,,,,,,,,
Operating Income (Loss),6546226433.51921,613967758.6381882,119723579.60568391,2441337479.9977155,-1042124645.1329578,5323914929.3720455,8689601235.99766,8210890690.600571,8189127574.666702,1049960000.228672,8457409523.272076,11138768200.329906
Basic EPS - Continuing Operations,3.56743792335,0.10199460916,-0.9781231096999999,0.0980911983,-5.16102766896,1.0221445088,4.8097613579,5.0433315494599995,5.03962245528,-0.9391101270400001,6.096832760200001,5.909596534480001
Diluted EPS - Continuing Operations,3.56743792335,0.10199460916,-0.9781231096999999,0.0980911983,-5.16102766896,1.0221445088,4.8097613579,5.0433315494599995,5.03962245528,-0.9391101270400001,6.096832760200001,5.909596534480001
