,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-221031100.0,4339200.0,75699360.0,-19728500.0,
Tax Rate For Calcs,0.2335,0.226,0.2673,0.211,
Normalized EBITDA,16615600000.0,13520800000.0,12282200000.0,8912400000.0,
Total Unusual Items,-946600000.0,19200000.0,283200000.0,-93500000.0,
Total Unusual Items Excluding Goodwill,-946600000.0,19200000.0,283200000.0,-93500000.0,
Net Income From Continuing Operation Net Minority Interest,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Reconciled Depreciation,1731400000.0,1441100000.0,1354000000.0,1308000000.0,
Reconciled Cost Of Revenue,12477000000.0,11271500000.0,11153200000.0,11167300000.0,
EBITDA,15669000000.0,13540000000.0,12565400000.0,8818900000.0,
EBIT,13937600000.0,12098900000.0,11211400000.0,7510900000.0,
Net Interest Income,354900000.0,264300000.0,205000000.0,26200000.0,
Interest Expense,161100000.0,207300000.0,72100000.0,58400000.0,
Interest Income,516000000.0,471600000.0,277100000.0,84600000.0,
Normalized Income,11285568900.0,9189039200.0,7954199360.0,5953571500.0,
Net Income From Continuing And Discontinued Operation,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Total Expenses,40806600000.0,34590500000.0,31159500000.0,30277600000.0,
Rent Expense Supplemental,88500000.0,93300000.0,73800000.0,75900000.0,
Diluted Average Shares,124952236.0,125176214.0,126006041.0,128122871.0,
Basic Average Shares,124928019.0,125126706.0,125915562.0,128118877.0,
Diluted EPS,84.51,73.53,64.77,45.89,
Basic EPS,84.53,73.56,64.82,45.89,
Diluted NI Availto Com Stockholders,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Average Dilution Earnings,0.0,0.0,0.0,0.0,
Net Income Common Stockholders,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Net Income Including Noncontrolling Interests,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Net Income Continuous Operations,10560000000.0,9203900000.0,8161700000.0,5879800000.0,
Tax Provision,3216500000.0,2687700000.0,2977600000.0,1572700000.0,
Pretax Income,13776500000.0,11891600000.0,11139300000.0,7452500000.0,
Other Non Operating Income Expenses,130500000.0,41400000.0,35900000.0,61500000.0,
Special Income Charges,-18700000.0,-6000000.0,34900000.0,-53500000.0,
Other Special Charges,18700000.0,6000000.0,-34900000.0,53500000.0,
Write Off,,,,-8400000.0,0.0
Impairment Of Capital Assets,,,,200000.0,39800000.0
Net Non Operating Interest Income Expense,354900000.0,264300000.0,205000000.0,26200000.0,
Interest Expense Non Operating,161100000.0,207300000.0,72100000.0,58400000.0,
Interest Income Non Operating,516000000.0,471600000.0,277100000.0,84600000.0,
Operating Income,13266000000.0,11284600000.0,10456400000.0,6797600000.0,
Operating Expense,28329600000.0,23319000000.0,20006300000.0,19110300000.0,
Other Operating Expenses,8034400000.0,6897200000.0,6214800000.0,6729000000.0,
Depreciation And Amortization In Income Statement,1731400000.0,1441100000.0,1354000000.0,1308000000.0,
Amortization,129100000.0,82200000.0,50100000.0,41000000.0,
Depreciation Income Statement,1602300000.0,1358900000.0,1303900000.0,1267000000.0,
Selling General And Administration,6014600000.0,4591200000.0,3826600000.0,3426800000.0,
Selling And Marketing Expense,4388900000.0,3020000000.0,2531200000.0,2267100000.0,
General And Administrative Expense,1625700000.0,1571200000.0,1295400000.0,1159700000.0,
Rent And Landing Fees,88500000.0,93300000.0,73800000.0,75900000.0,
Gross Profit,41595600000.0,34603600000.0,30462700000.0,25907900000.0,
Cost Of Revenue,12477000000.0,11271500000.0,11153200000.0,11167300000.0,
Total Revenue,54072600000.0,45875100000.0,41615900000.0,37075200000.0,
Operating Revenue,54072600000.0,45875100000.0,41615900000.0,37075200000.0,
