Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2014-08-01,385.51,408.52,374.91,403.48,219000,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-04,408.16,424.93,403.58,419.21,369341,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-05,421.72,433.41,367.44,386.14,3071659,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-06,387.92,398.77,381.9,387.47,759435,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-07,392.45,392.61,379.48,381.74,263265,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-08,381.12,381.12,361.77,365.46,268853,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-11,367.92,372.84,352.71,369.72,189038,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-12,374.43,374.43,360.48,363.3,119663,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-13,359.66,363.83,349.37,353.28,300195,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-14,349.87,367.44,349.87,363.37,204559,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-18,360.94,379.47,359.72,375.68,508568,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-19,375.89,385.39,375.89,383.3,347168,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-20,384.24,397.32,378.29,389.94,386419,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-21,392.69,403.58,390.34,392.95,263666,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-22,392.74,402.38,381.97,385.89,139650,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-25,388.65,397.56,386.0,389.61,203235,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-26,387.92,395.15,385.51,391.85,107096,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-27,393.22,397.32,386.5,389.51,77408,Ajanta Pharma,India,AJANTPHARM.NS
2014-08-28,389.37,392.6,380.21,383.09,114664,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-01,383.09,393.91,380.09,392.12,122265,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-02,393.95,396.36,385.51,387.98,164423,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-03,392.74,396.92,388.67,394.33,174390,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-04,391.55,397.08,386.25,388.32,109196,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-05,385.03,396.34,379.55,390.0,167723,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-08,394.6,395.63,390.33,393.75,143018,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-09,389.9,401.65,389.9,393.98,309941,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-10,395.61,403.1,392.74,400.28,266194,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-11,405.02,420.45,403.1,414.22,677869,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-12,416.6,423.34,413.97,420.61,278663,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-15,419.85,420.45,410.57,413.51,97485,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-16,416.31,419.25,398.75,403.87,170160,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-17,405.27,411.97,392.67,408.2,80126,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-18,410.09,417.8,401.81,416.48,102533,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-19,412.62,421.41,412.62,417.92,88406,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-22,410.84,421.9,410.84,420.11,185603,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-23,436.84,443.34,427.06,434.41,509666,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-24,437.32,445.39,398.91,429.86,310560,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-25,426.51,432.98,419.32,427.34,164006,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-26,427.37,427.37,379.89,417.35,176261,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-29,426.23,433.22,404.08,412.66,278850,Ajanta Pharma,India,AJANTPHARM.NS
2014-09-30,414.98,421.17,409.61,417.17,144326,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-01,414.69,423.56,413.22,417.29,96038,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-07,416.86,424.07,409.61,419.37,95486,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-08,415.28,420.04,393.95,403.64,164775,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-09,401.42,415.64,401.42,412.92,120671,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-10,409.61,412.25,405.99,409.76,85136,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-13,402.62,414.43,402.62,407.78,100219,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-14,409.85,413.22,403.58,406.62,100106,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-16,403.83,407.64,393.31,399.07,150990,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-17,396.36,407.68,391.54,405.87,74333,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-20,414.43,414.43,407.2,409.58,36975,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-21,414.19,431.53,405.07,427.19,138341,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-22,426.47,442.11,426.47,436.98,168023,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-23,440.55,443.34,436.12,438.98,24941,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-27,441.81,465.66,434.43,449.89,209880,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-28,453.15,457.28,445.91,451.93,94144,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-29,455.39,456.57,434.43,436.94,200366,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-30,435.2,469.31,435.2,454.81,1168016,Ajanta Pharma,India,AJANTPHARM.NS
2014-10-31,458.5,463.85,454.18,457.67,304391,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-03,463.82,463.82,449.04,459.73,165589,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-05,457.81,461.16,450.09,452.24,157050,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-07,460.45,462.38,451.29,460.38,105559,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-10,462.6,469.84,459.95,463.95,107730,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-11,467.15,480.21,463.63,477.49,252971,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-12,481.87,500.93,477.07,499.18,340433,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-13,503.02,525.02,493.94,519.55,315236,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-14,520.93,522.85,494.42,510.11,354071,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-17,516.35,525.26,506.0,519.07,177893,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-18,522.59,529.6,515.62,523.29,154624,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-19,523.26,580.68,523.09,567.67,637616,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-20,570.72,603.81,567.92,597.09,698085,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-21,600.44,609.11,567.74,572.85,448204,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-24,577.5,585.98,555.38,571.13,155591,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-25,573.45,573.45,546.95,551.15,127301,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-26,551.74,560.2,542.13,546.55,127838,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-27,546.96,574.66,542.82,569.97,181804,Ajanta Pharma,India,AJANTPHARM.NS
2014-11-28,573.45,586.7,555.93,569.2,229159,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-01,566.22,585.5,556.59,580.62,149325,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-02,574.83,585.02,568.63,578.91,82714,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-03,580.44,597.55,575.86,591.22,189701,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-04,591.28,624.17,591.28,616.86,362648,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-05,622.85,647.69,595.43,606.11,513270,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-08,612.17,622.06,599.98,603.97,160864,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-09,606.46,620.44,589.11,604.41,180855,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-10,614.29,643.09,606.63,633.84,308445,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-11,641.88,650.55,619.23,644.52,363983,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-12,650.55,655.37,643.72,651.3,208016,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-15,650.06,662.57,636.58,640.69,261353,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-16,640.43,640.69,602.74,608.08,210540,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-17,611.68,620.63,555.38,568.26,402214,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-18,583.04,604.77,566.97,581.78,305749,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-19,585.26,593.91,554.42,560.78,598800,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-22,568.52,568.52,549.36,553.72,221010,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-23,553.72,564.54,548.16,551.47,196571,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-24,551.78,557.9,542.15,544.59,128325,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-26,544.54,581.57,536.11,574.16,394185,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-29,575.86,590.32,562.85,568.81,264866,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-30,569.48,578.03,561.97,565.39,116531,Ajanta Pharma,India,AJANTPHARM.NS
2014-12-31,565.26,569.77,559.09,560.72,136418,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-01,560.72,572.49,560.68,568.18,116426,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-02,565.02,571.52,552.25,556.31,191295,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-05,559.72,570.56,557.07,563.59,128010,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-06,563.09,571.04,551.77,560.07,219818,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-07,557.55,571.04,554.2,557.01,95884,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-08,570.07,570.07,545.14,558.74,91568,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-09,559.02,565.02,555.02,558.87,102769,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-12,565.5,586.7,552.97,577.38,174308,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-13,586.7,606.81,585.03,595.76,247770,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-14,607.3,632.48,603.09,624.59,328815,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-15,638.51,644.46,608.4,612.83,168900,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-16,619.23,619.23,592.75,595.55,122093,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-19,596.58,609.59,596.58,606.71,86936,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-20,609.59,609.59,593.93,596.53,77171,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-21,600.68,606.94,587.97,594.69,100515,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-22,599.93,599.96,587.91,591.38,83925,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-23,592.0,594.82,566.22,578.23,165851,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-27,578.26,594.31,573.21,576.8,166763,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-28,581.84,662.36,579.25,646.87,2668755,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-29,652.48,655.37,614.44,619.38,482936,Ajanta Pharma,India,AJANTPHARM.NS
2015-01-30,623.75,625.57,612.0,615.56,178943,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-02,618.27,626.34,601.64,611.89,302816,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-03,613.93,622.58,597.09,600.43,254449,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-04,605.74,611.23,590.32,593.03,115586,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-05,599.94,602.82,583.09,587.02,102079,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-06,586.94,618.03,586.94,601.94,407220,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-09,596.34,608.39,591.52,603.26,152595,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-10,605.98,610.8,594.78,604.33,226631,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-11,603.57,614.17,598.75,603.37,190616,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-12,609.28,609.28,600.94,606.41,142579,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-13,608.39,655.13,601.16,649.84,662149,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-16,654.12,679.73,635.54,670.49,540413,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-18,671.03,686.7,669.82,677.2,196958,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-19,678.26,683.08,646.94,658.65,297964,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-20,662.36,662.36,644.23,652.41,223864,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-23,652.24,674.03,647.17,653.13,288885,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-24,659.05,671.76,654.53,665.55,178129,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-25,672.0,672.0,661.64,665.73,482400,Ajanta Pharma,India,AJANTPHARM.NS
