,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-567844680.0,-287345520.0,-795131050.0,-28123330.0,
Tax Rate For Calcs,0.3147,0.3124,0.2765,0.2621,
Normalized EBITDA,74052500000.0,71898600000.0,64275600000.0,39967600000.0,
Total Unusual Items,-1804400000.0,-919800000.0,-2875700000.0,-107300000.0,
Total Unusual Items Excluding Goodwill,-1804400000.0,-919800000.0,-2875700000.0,-107300000.0,
Net Income From Continuing Operation Net Minority Interest,35047500000.0,34858800000.0,31729700000.0,19275000000.0,
Reconciled Depreciation,17606500000.0,15912000000.0,15216600000.0,12445800000.0,
Reconciled Cost Of Revenue,143249300000.0,137415200000.0,132362100000.0,118997000000.0,
EBITDA,72248100000.0,70978800000.0,61399900000.0,39860300000.0,
EBIT,54641600000.0,55066800000.0,46480800000.0,27414500000.0,
Net Interest Income,-548900000.0,-1040000000.0,-39500000.0,54100000.0,
Interest Expense,3523100000.0,4403900000.0,2680900000.0,1289500000.0,
Interest Income,3290800000.0,3532400000.0,2857600000.0,1458900000.0,
Normalized Income,36284055320.0,35491254480.0,33810268950.0,19354176670.0,
Net Income From Continuing And Discontinued Operation,35047500000.0,34858800000.0,31729700000.0,19275000000.0,
Total Expenses,281918700000.0,263300700000.0,242629700000.0,220795300000.0,
Rent Expense Supplemental,566000000.0,713400000.0,1204200000.0,1337600000.0,
Diluted Average Shares,580801623.0,582870491.0,585938609.0,585938609.0,
Basic Average Shares,580801623.0,582870491.0,585938609.0,585938609.0,
Diluted EPS,60.34,59.81,54.16,32.9,
Basic EPS,60.34,59.81,54.16,32.9,
Diluted NI Availto Com Stockholders,35047500000.0,34858800000.0,31729700000.0,19275000000.0,
Net Income Common Stockholders,35047500000.0,34858800000.0,31729700000.0,19275000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,35047500000.0,34858800000.0,31729700000.0,19275000000.0,
Minority Interests,17800000.0,23100000.0,40000000.0,-1500000.0,
Net Income Including Noncontrolling Interests,35029700000.0,34835700000.0,31689700000.0,19276500000.0,
Net Income Continuous Operations,35029700000.0,34835700000.0,31689700000.0,19276500000.0,
Tax Provision,16088800000.0,15827200000.0,12110200000.0,6848500000.0,
Pretax Income,51118500000.0,50662900000.0,43799900000.0,26125000000.0,
Other Non Operating Income Expenses,1591700000.0,2318500000.0,2057200000.0,1288400000.0,
Special Income Charges,-1804400000.0,-919800000.0,-2875700000.0,-107300000.0,
Other Special Charges,896300000.0,89400000.0,-1032700000.0,-132300000.0,
Write Off,415100000.0,134000000.0,2298100000.0,0.0,
Impairment Of Capital Assets,493000000.0,696400000.0,623700000.0,239600000.0,
Restructuring And Mergern Acquisition,,0.0,986600000.0,0.0,
Net Non Operating Interest Income Expense,-548900000.0,-1040000000.0,-39500000.0,54100000.0,
Total Other Finance Cost,316600000.0,168500000.0,216200000.0,115300000.0,
Interest Expense Non Operating,3523100000.0,4403900000.0,2680900000.0,1289500000.0,
Interest Income Non Operating,3290800000.0,3532400000.0,2857600000.0,1458900000.0,
Operating Income,51928700000.0,50480600000.0,44415300000.0,25376000000.0,
Operating Expense,138669400000.0,125885500000.0,110267600000.0,101798300000.0,
Other Operating Expenses,37445800000.0,36390300000.0,32089100000.0,31288000000.0,
Depreciation And Amortization In Income Statement,17606500000.0,15912000000.0,14919100000.0,12445800000.0,
Amortization,4238500000.0,4630300000.0,5737700000.0,4112900000.0,
Depreciation Income Statement,13368000000.0,11281700000.0,9181400000.0,8332900000.0,
Research And Development,1554500000.0,951000000.0,756300000.0,395100000.0,
Selling General And Administration,32247900000.0,,25024100000.0,23481700000.0,21770200000.0
Selling And Marketing Expense,22549300000.0,21850600000.0,16847200000.0,16857600000.0,
General And Administrative Expense,9698600000.0,8735800000.0,8176900000.0,6624100000.0,
Rent And Landing Fees,566000000.0,713400000.0,1204200000.0,1337600000.0,
Gross Profit,190598100000.0,176366100000.0,154682900000.0,127174300000.0,
Cost Of Revenue,143249300000.0,137415200000.0,132362100000.0,118997000000.0,
Total Revenue,333847400000.0,313781300000.0,287045000000.0,246171300000.0,
Operating Revenue,333847400000.0,313781300000.0,287045000000.0,246171300000.0,
