,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurobindo Pharma Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: AUROPHARMA (MI KEY: 4810875; SPCIQ KEY: 1514127),,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ2,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-09-30 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,3060500,1785.8,5077900,4410.8,6465500,7904.1,7032700,4894.4,9428300,12140,17431400,18837,20613400,27637.1,33647500,53734.7,44745600,41625.1,37719.1,43962.9,41321.1,33934.8,39039.7,55689.5,54016.4,71914
Bank Balances Other Than Above,,,,80.1,,98.5,,240.4,307000,482.5,341100,734.8,728000,784.4,1127800,1008.1,226200,275,16325.2,16879.1,29394.5,28848.2,29357.4,26665.4,34897.5,26788.9
Investments,400,0.3,300,196.4,196400,0.2,27800,0.2,200,0.2,200,0.2,200,0.2,806000,1597.9,200,3788.5,10672.1,1510,774.6,505.8,285.2,0.1,10.2,7472.4
Trade Receivables,20302300,26365.7,32434500,35371.5,41189200,46066.8,27271400,27653.3,30365600,30802,31966500,34137.8,41600400,43151.6,38119500,35032.8,39314400,40122.6,36564.1,44663.8,46395.8,48167.4,53882.8,57459.3,58911.1,70943.7
Sundry Debtors,20302300,,,35371.5,41189200,,,27653.3,,,,,41600400,,,,,,36564.1,,46395.8,,,,,
Financial Assets - Receivable from Bank,,,,,,,12167000,,12544000,,,,,,,,,,,,,,,,,
Loans and Advances,3983100,3771.9,5204000,83.6,7943700,103.1,105100,108.9,110800,86.6,110100,102.6,113900,136.8,129700,143.2,140400,127.1,119.7,124.3,132.6,128.6,138.8,155.6,166.3,178.7
