,,,,,,,,,,,,,
Cipla Limited | Balance Sheet (As Reported),,,,,,,,,,,,,
NSEI: CIPLA (MI KEY: 4812354; SPCIQ KEY: 882504),,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY
Period Ended,2014-03-31 00:00:00,2015-04-01 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
Current Assets,,,,,,,,,,,,,
Cash and Cash Equivalents,1757600,5458400,8581500,6103500,8534600,5083600,7423800,7932900,6777400,6276300,6400700,5886900,10182200
Bank Balances Other Than Cash and Cash Equivalents,,184200,132500,138600,1121500,1104500,2615300,6079400,12507400,9369900,2349000,2111500,2892000
Investments,3114300,3904000,5823400,8373900,11022100,21257900,10165200,22863700,21949700,30898600,48070100,72932300,76794200
Trade Receivables,16388900,19281600,23562700,25630500,31024500,41507200,38913100,34456800,34244400,40570000,47706600,55063700,56200500
Loans,,115200,109200,95300,199100,62800,56000,10000,35700,75900,2400,156400,231200
Loans and Advances,5954900,,,,,,,,,,,,
Inventories,28952600,37806200,38080500,34852800,40447000,39648300,43776000,46691800,53502400,51564300,52379500,56421100,65967200
Other Current Assets,351400,7593800,10753400,6740100,10044000,10603300,8866200,8943300,9107400,8489900,9001000,10548800,14589000
Other Financial Assets,,1238200,1369100,5421000,5748200,4978700,5222800,4832400,8983900,20805700,28015200,29369000,14602300
Assets Classified as Held for Sale,,,,690600,,20000,,284800,,,,395500,11700
Assets of Disposal Group Classified as Held for Sale,,,,,,,,,,4698900,489600,,
Total Current Assets,,,,,108141000,,117038400,,147108300,,,,
Noncurrent Assets,,,,,,,,,,,,,
Right of Use Assets,,,,,,,3227300,3381300,3256100,4071800,4270300,4483800,4531400
Capital Work in Progress,3536400,5350200,7410100,7192300,5123500,3310500,4210000,5708400,3829000,6891700,8643200,12127600,15862800
"Property, Plant and Equipment",39959400,41144300,46048500,50086900,53153500,51143500,48053200,46181400,48387900,45836000,46419400,48138800,55866600
Investment Properties,,11100,10700,17400,10300,618500,1243000,1217500,614200,598300,1136100,,
Investment Property,,,,,,,,,,,,1112500,
Investment in Associates,,1214500,168200,124000,96200,2344900,2349700,2283800,458100,909000,1300500,1404700,1117500
Investments,,1271900,1584600,1232200,1470100,1938600,2195300,1953000,3098200,4816200,5121600,4990700,4322400
Deferred Tax Assets,28800,804400,786900,1681300,1876500,2014100,2397700,3146900,4488300,4565400,5878000,6448700,9010200
"Current Tax Assets, Net",,1639500,2347100,,3886000,3455900,4686200,4681600,4836200,5480000,4636700,,
Non Current Tax Assets Net,,,,,,,,,,,,4878600,5732800
Loans,3014900,338500,418400,394800,416600,494200,523900,400,400,,169800,325400,27600
Cgoodwill,24930900,11293800,27055700,26966700,28147400,28691400,29340000,30072900,31379300,29838600,31120400,32702700,37544200
Intangible Assets,74400,,,,18190500,15630200,14965400,14302100,13195800,,,,
Other Intangible Assets,,14859300,20579000,17848800,,,,,,11260100,13126000,13626100,26401400
Intangible Assets Under Development,882000,458800,13198600,9637500,4689800,3451300,4035300,3980500,3832800,4041300,2884000,3535100,4559400
Other Non-current Assets,1114500,1614800,2498900,2922000,1812700,1341700,1916400,1555700,2189100,2581700,2972500,4375900,6572200
Other Financial Assets,,888200,762800,1137700,1591400,932100,420400,958300,4170400,993200,5085600,2834600,11941000
Non-current Investments,3971400,,,,,,,,,,,,
Assets Classified as Held for Sale,,,,,,,23400,,167100,,,,
Advance Tax (Net),,,,3082800,,,,,,,,,
Total Assets,134032400,156470900,211281800,210370700,228605500,239633200,236625600,251518900,271011200,294632800,327178200,373870400,424959800
Current Liabilities,,,,,,,,,,,,,
Trade Payables,9795300,14610200,14758200,15711400,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,21007400,286900,811900,693300,1751200,2259100,2535400,2786000,2151800
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,183800,19193000,22006200,19974900,23329800,23086100,22204400,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small,,,,,,,,,,,,25588900,30147200
Short-term Borrowings,9104700,13924800,49696700,4672300,4358700,4861600,4471500,5528100,4079000,,2470200,801200,1405000
Iborrowings,,,,,,,,,,5203600,,,
Lease Liabilities,,,,,,,,609600,733600,739400,869700,1056000,913200
"Current Tax Liabilities, Net",,375400,135700,240100,30800,587400,93400,180600,206200,165800,220300,767500,54500
Short-term Provisions,2649100,1848300,3108500,4023700,6271100,7367600,9481900,10783200,12210000,12866700,16117600,17166100,22591500
Other Current Liabilities,4086700,3409500,2683000,2663600,2268500,1434300,1762900,3592200,3110600,2841300,3118700,2928500,3005000
Other Financial Liabilities,,3449300,7378400,6425900,4201900,3984300,5303600,4549500,3708300,3170700,4921400,3745400,9867700
Liabilities Directly Associated With Assets Classified as Held for Sale,,,,,,,,4100,3400,,,,
Liabilities of Disposal Groups Classified as Held for Sale,,,,,,,,,,764000,,,
Total Current Liabilities,,,,33737000,38322200,37715100,,,,,,54839600,70135900
Noncurrent Liabilities,,,,,,,,,,,,,
Long-term Borrowings,3178700,3092800,2218800,36453600,36621100,38300700,23692800,12027500,4162400,,,119800,1174700
Lease Liabilities,,,,,,,,1978900,1582800,2088200,2254200,2404900,2644800
Deferred Tax Liabilities,3118500,3072600,9757300,7568900,5033100,4253200,3652100,2966100,2439600,1632800,1852900,535300,1532700
Minority Interest,495800,3316500,3500900,4382300,3524400,3319700,2942800,2590600,2756900,3057600,959000,958000,882900
Other Long-term Liabilities,325700,929800,1014200,936500,932500,833100,674800,636100,514600,521100,619400,567500,489700
Provisions,774400,1103500,1446800,1405200,1379200,1214100,1332700,1161700,1002200,1021600,1292600,1486900,1575600
Other Financial Liabilities,,763000,421100,450600,501100,3874500,2769000,977200,1003700,1137000,678100,1023900,2204000
CIQ Balancing Difference - Total Long-Term Liabilities,,,,,,,,,,,-2000,,
Shareholders' Equity,,,,,,,,,,,,,
Common Stock - Par Value,1605800,1605900,1606800,1609000,1610200,1611400,1612500,1612900,1613600,1614300,1616700,1615200,1615600
Reserves & Surplus,98897700,,,,,,,,,,,,
Other Equity,,104846800,113555400,123827600,140681700,148511400,156017500,181652400,206803300,232463500,265449600,310319300,342703900
Subscribed Share Capital - Common,,122500,,,,,,,,,,,
