date,Open,High,Low,Close,adjusted_close,Volume,Company,Country,Ticker,__period__,company
2013-12-31,160.3999938964844,165.9600067138672,160.3999938964844,162.0700073242188,147.0886383056641,201355,Natco Pharma,India,NATCOPHARM.NS,2013-12-31,Natco Pharma
2014-12-31,163.1000061035156,318.0,130.0,303.9299926757812,277.5625610351562,90569085,Natco Pharma,India,NATCOPHARM.NS,2014-12-31,Natco Pharma
2015-12-31,303.9299926757812,596.8499755859375,266.0,576.4000244140625,528.3050537109375,122348954,Natco Pharma,India,NATCOPHARM.NS,2015-12-31,Natco Pharma
2016-12-31,574.0,702.6500244140625,390.0,579.6500244140625,533.337158203125,78074164,Natco Pharma,India,NATCOPHARM.NS,2016-12-31,Natco Pharma
2017-12-31,584.0,1090.0,581.3499755859375,986.2999877929688,916.1251220703124,92195334,Natco Pharma,India,NATCOPHARM.NS,2017-12-31,Natco Pharma
2018-12-31,989.9500122070312,1046.949951171875,636.0,694.3499755859375,652.0552978515625,62332889,Natco Pharma,India,NATCOPHARM.NS,2018-12-31,Natco Pharma
2019-12-31,697.0,709.7999877929688,480.0,618.2999877929688,587.9564208984375,46292983,Natco Pharma,India,NATCOPHARM.NS,2019-12-31,Natco Pharma
2020-12-31,619.0,996.0,402.5499877929688,967.2999877929688,930.6128540039062,109458441,Natco Pharma,India,NATCOPHARM.NS,2020-12-31,Natco Pharma
2021-12-31,972.0,1189.0,771.5,904.6500244140624,873.8850708007812,110167403,Natco Pharma,India,NATCOPHARM.NS,2021-12-31,Natco Pharma
2022-12-31,911.9000244140624,944.0,545.0,561.6500244140625,547.5133056640625,72640403,Natco Pharma,India,NATCOPHARM.NS,2022-12-31,Natco Pharma
2023-12-31,564.4500122070312,928.0,502.0,818.3499755859375,807.3983154296875,140406385,Natco Pharma,India,NATCOPHARM.NS,2023-12-31,Natco Pharma
2024-12-31,824.0,1639.0,805.0,1397.300048828125,1384.486083984375,219165954,Natco Pharma,India,NATCOPHARM.NS,2024-12-31,Natco Pharma
2025-12-31,1402.0,1420.0,726.7999877929688,888.2000122070312,885.1942749023438,272692087,Natco Pharma,India,NATCOPHARM.NS,2025-12-31,Natco Pharma
2026-12-31,888.2000122070312,1226.800048828125,806.0499877929688,886.8499755859375,885.3499755859375,158001226,Natco Pharma,India,NATCOPHARM.NS,2026-12-31,Natco Pharma
