Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2014-08-01,265.68,271.0,264.95,266.92,118912,Strides Pharma Science,India,STAR.NS
2014-08-04,266.9,270.96,266.29,269.65,98210,Strides Pharma Science,India,STAR.NS
2014-08-05,267.72,269.67,265.27,266.92,71838,Strides Pharma Science,India,STAR.NS
2014-08-06,265.4,274.26,265.4,268.29,125470,Strides Pharma Science,India,STAR.NS
2014-08-07,265.7,272.81,265.7,271.45,159458,Strides Pharma Science,India,STAR.NS
2014-08-08,268.78,272.67,265.27,271.96,145870,Strides Pharma Science,India,STAR.NS
2014-08-11,271.08,275.05,265.27,266.56,172353,Strides Pharma Science,India,STAR.NS
2014-08-12,266.64,270.98,266.64,268.68,64815,Strides Pharma Science,India,STAR.NS
2014-08-13,268.13,272.16,264.87,266.17,74322,Strides Pharma Science,India,STAR.NS
2014-08-14,265.42,272.61,265.42,267.41,70577,Strides Pharma Science,India,STAR.NS
2014-08-18,266.23,269.88,264.17,264.66,113290,Strides Pharma Science,India,STAR.NS
2014-08-19,263.09,267.31,258.75,263.66,108693,Strides Pharma Science,India,STAR.NS
2014-08-20,261.67,271.39,261.67,268.41,170702,Strides Pharma Science,India,STAR.NS
2014-08-21,267.35,280.76,267.35,275.89,413433,Strides Pharma Science,India,STAR.NS
2014-08-22,276.6,281.16,267.76,269.45,316487,Strides Pharma Science,India,STAR.NS
2014-08-25,269.55,274.52,267.72,272.93,206494,Strides Pharma Science,India,STAR.NS
2014-08-26,272.61,276.85,266.9,268.68,522768,Strides Pharma Science,India,STAR.NS
2014-08-27,270.73,274.87,267.84,268.9,210545,Strides Pharma Science,India,STAR.NS
2014-08-28,269.06,272.57,265.68,267.74,99940,Strides Pharma Science,India,STAR.NS
2014-09-01,270.84,274.29,268.13,272.65,137712,Strides Pharma Science,India,STAR.NS
2014-09-02,272.65,276.14,271.41,272.32,302905,Strides Pharma Science,India,STAR.NS
2014-09-03,273.06,274.68,270.22,272.23,84802,Strides Pharma Science,India,STAR.NS
2014-09-04,271.56,284.96,267.0,280.59,624434,Strides Pharma Science,India,STAR.NS
2014-09-05,282.5,286.69,280.04,281.95,332045,Strides Pharma Science,India,STAR.NS
2014-09-08,283.16,296.05,282.54,292.09,664077,Strides Pharma Science,India,STAR.NS
2014-09-09,296.05,298.58,290.3,292.07,461911,Strides Pharma Science,India,STAR.NS
2014-09-10,292.35,296.95,289.52,290.88,268015,Strides Pharma Science,India,STAR.NS
2014-09-11,294.28,299.75,290.71,295.04,436096,Strides Pharma Science,India,STAR.NS
2014-09-12,299.33,304.67,297.69,299.68,795812,Strides Pharma Science,India,STAR.NS
2014-09-15,303.44,306.46,300.09,303.42,469393,Strides Pharma Science,India,STAR.NS
2014-09-16,304.26,316.17,284.31,290.59,1139838,Strides Pharma Science,India,STAR.NS
