Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2014-08-31,265.68,281.16,258.75,267.74,3264177,Strides Pharma Science,India,STAR.NS
2014-09-30,270.84,316.17,256.63,293.28,13595083,Strides Pharma Science,India,STAR.NS
2014-10-31,295.23,330.13,257.04,273.63,11620571,Strides Pharma Science,India,STAR.NS
2014-11-30,275.11,348.2,272.85,345.82,6778574,Strides Pharma Science,India,STAR.NS
2014-12-31,347.38,410.2,342.86,394.19,20914026,Strides Pharma Science,India,STAR.NS
2015-01-31,396.24,401.17,363.45,382.87,9045672,Strides Pharma Science,India,STAR.NS
2015-02-28,383.92,390.08,337.11,375.42,10502124,Strides Pharma Science,India,STAR.NS
2015-03-31,375.3,492.32,374.48,484.87,22946601,Strides Pharma Science,India,STAR.NS
2015-04-30,482.06,512.85,376.22,422.56,13847865,Strides Pharma Science,India,STAR.NS
2015-05-31,427.81,523.53,395.42,519.18,16808945,Strides Pharma Science,India,STAR.NS
2015-06-30,519.11,519.4,440.77,456.13,11230036,Strides Pharma Science,India,STAR.NS
2015-07-31,458.49,548.99,452.08,524.58,11830142,Strides Pharma Science,India,STAR.NS
2015-08-31,526.62,565.56,410.97,504.83,16314972,Strides Pharma Science,India,STAR.NS
2015-09-30,497.97,518.78,414.44,502.58,11927626,Strides Pharma Science,India,STAR.NS
2015-10-31,509.85,567.99,504.6,532.44,7003815,Strides Pharma Science,India,STAR.NS
2015-11-30,530.94,581.98,494.06,564.57,6556281,Strides Pharma Science,India,STAR.NS
2015-12-31,569.22,576.63,516.56,530.68,8923533,Strides Pharma Science,India,STAR.NS
2016-01-31,529.91,545.1,396.58,480.69,8780860,Strides Pharma Science,India,STAR.NS
2016-02-29,480.73,487.31,348.61,362.01,14809174,Strides Pharma Science,India,STAR.NS
2016-03-31,364.23,467.93,358.2,446.18,13478879,Strides Pharma Science,India,STAR.NS
2016-04-30,446.55,477.75,415.7,444.92,6848162,Strides Pharma Science,India,STAR.NS
2016-05-31,439.98,500.63,410.78,457.54,8448150,Strides Pharma Science,India,STAR.NS
2016-06-30,460.15,480.65,415.7,464.62,5783693,Strides Pharma Science,India,STAR.NS
2016-07-31,485.15,495.96,460.97,480.12,5225723,Strides Pharma Science,India,STAR.NS
2016-08-31,480.72,485.18,379.12,392.85,12635122,Strides Pharma Science,India,STAR.NS
2016-09-30,393.2,439.42,382.92,415.44,12383976,Strides Pharma Science,India,STAR.NS
2016-10-31,412.99,438.59,386.14,430.37,7949320,Strides Pharma Science,India,STAR.NS
2016-11-30,431.16,473.9,402.66,452.39,13143974,Strides Pharma Science,India,STAR.NS
2016-12-31,452.39,466.26,418.77,438.67,6290503,Strides Pharma Science,India,STAR.NS
2017-01-31,439.17,493.93,430.58,452.65,7125188,Strides Pharma Science,India,STAR.NS
2017-02-28,447.33,526.43,434.85,480.16,9681221,Strides Pharma Science,India,STAR.NS
2017-03-31,482.29,489.39,446.69,453.67,8893623,Strides Pharma Science,India,STAR.NS
2017-04-30,452.22,474.05,435.97,443.07,3764594,Strides Pharma Science,India,STAR.NS
2017-05-31,453.79,453.79,350.21,373.79,8007160,Strides Pharma Science,India,STAR.NS
2017-06-30,373.75,416.66,371.73,413.21,7040018,Strides Pharma Science,India,STAR.NS
2017-07-31,418.77,455.19,397.85,437.31,4816728,Strides Pharma Science,India,STAR.NS
2017-08-31,436.94,444.29,357.25,373.84,5604695,Strides Pharma Science,India,STAR.NS
2017-09-30,379.95,432.08,358.83,367.5,9862171,Strides Pharma Science,India,STAR.NS
2017-10-31,373.1,375.59,332.85,343.97,19393927,Strides Pharma Science,India,STAR.NS
2017-11-30,343.64,349.1,312.22,331.54,13260391,Strides Pharma Science,India,STAR.NS
2017-12-31,335.34,355.24,318.82,341.54,12815860,Strides Pharma Science,India,STAR.NS
2018-01-31,340.32,348.16,314.38,316.66,6454376,Strides Pharma Science,India,STAR.NS
2018-02-28,316.66,318.74,265.88,297.78,10430780,Strides Pharma Science,India,STAR.NS
2018-03-31,295.5,302.24,270.28,277.71,7117663,Strides Pharma Science,India,STAR.NS
2018-04-30,276.4,298.71,266.57,272.74,14370946,Strides Pharma Science,India,STAR.NS
2018-05-31,275.52,275.92,142.59,171.9,115992497,Strides Pharma Science,India,STAR.NS
2018-06-30,175.32,180.63,142.61,168.8,136749883,Strides Pharma Science,India,STAR.NS
2018-07-31,168.13,179.68,145.46,164.52,49934017,Strides Pharma Science,India,STAR.NS
2018-08-31,165.57,213.67,161.12,212.46,78659455,Strides Pharma Science,India,STAR.NS
2018-09-30,213.05,222.09,185.21,186.82,45014717,Strides Pharma Science,India,STAR.NS
2018-10-31,188.02,198.35,167.6,182.27,31129365,Strides Pharma Science,India,STAR.NS
2018-11-30,183.0,210.88,179.26,208.62,28266722,Strides Pharma Science,India,STAR.NS
2018-12-31,208.38,210.06,179.13,198.03,27180185,Strides Pharma Science,India,STAR.NS
2019-01-31,199.02,236.87,192.56,198.18,57385404,Strides Pharma Science,India,STAR.NS
2019-02-28,199.19,200.07,168.48,180.81,38921460,Strides Pharma Science,India,STAR.NS
2019-03-31,181.32,206.07,181.28,202.93,28652688,Strides Pharma Science,India,STAR.NS
2019-04-30,203.27,218.24,199.86,206.02,19584929,Strides Pharma Science,India,STAR.NS
2019-05-31,206.15,217.6,173.12,181.45,36100478,Strides Pharma Science,India,STAR.NS
2019-06-30,180.23,188.58,166.8,171.36,18352008,Strides Pharma Science,India,STAR.NS
2019-07-31,172.0,177.67,146.21,166.96,43446517,Strides Pharma Science,India,STAR.NS
2019-08-31,168.93,189.4,163.47,170.44,29726732,Strides Pharma Science,India,STAR.NS
2019-09-30,169.44,181.55,132.8,137.56,27640511,Strides Pharma Science,India,STAR.NS
2019-10-31,137.7,177.01,128.75,172.1,36222057,Strides Pharma Science,India,STAR.NS
2019-11-30,173.17,185.08,167.2,173.26,9633168,Strides Pharma Science,India,STAR.NS
2019-12-31,172.3,174.8,158.6,161.81,5903960,Strides Pharma Science,India,STAR.NS
2020-01-31,162.28,216.78,160.14,207.57,24143698,Strides Pharma Science,India,STAR.NS
2020-02-29,206.23,244.83,190.05,210.19,14255861,Strides Pharma Science,India,STAR.NS
2020-03-31,210.12,216.78,119.81,144.02,10295446,Strides Pharma Science,India,STAR.NS
2020-04-30,145.25,226.39,135.55,197.8,25669072,Strides Pharma Science,India,STAR.NS
2020-05-31,194.03,209.67,176.43,178.13,25825528,Strides Pharma Science,India,STAR.NS
2020-06-30,180.17,223.08,171.0,183.12,29601439,Strides Pharma Science,India,STAR.NS
2020-07-31,183.39,198.1,180.7,195.95,20224934,Strides Pharma Science,India,STAR.NS
2020-08-31,194.73,293.36,194.51,271.39,61998441,Strides Pharma Science,India,STAR.NS
2020-09-30,271.33,339.16,262.79,323.23,44563586,Strides Pharma Science,India,STAR.NS
2020-10-31,325.59,343.47,290.04,310.09,19384110,Strides Pharma Science,India,STAR.NS
2020-11-30,309.08,347.69,266.83,343.25,17018669,Strides Pharma Science,India,STAR.NS
2020-12-31,341.4,416.87,321.48,394.5,20891638,Strides Pharma Science,India,STAR.NS
2021-01-31,396.57,449.21,360.94,365.73,15621407,Strides Pharma Science,India,STAR.NS
2021-02-28,363.86,422.26,349.2,374.49,13533482,Strides Pharma Science,India,STAR.NS
2021-03-31,378.62,407.44,327.03,379.45,12950814,Strides Pharma Science,India,STAR.NS
2021-04-30,383.63,425.41,365.68,388.46,18684444,Strides Pharma Science,India,STAR.NS
2021-05-31,385.02,396.66,340.01,343.96,14187928,Strides Pharma Science,India,STAR.NS
2021-06-30,345.9,380.84,300.39,341.09,17810510,Strides Pharma Science,India,STAR.NS
2021-07-31,341.16,367.46,328.62,346.12,9236731,Strides Pharma Science,India,STAR.NS
2021-08-31,350.39,363.41,253.51,276.43,25771939,Strides Pharma Science,India,STAR.NS
2021-09-30,277.15,289.5,257.55,265.66,14773500,Strides Pharma Science,India,STAR.NS
